Beat,Position,Pitch,Type
132.0,79,0,1
134.75,79,63,0
136.0,80,59,0
140.0,81,68,0
141.0,82,66,0
142.5,83,68,0
144.0,84,58,0
148.0,85,70,0
149.0,86,68,0
150.5,87,70,0
152.0,88,63,0
156.0,89,73,0
157.0,90,71,0
158.5,91,63,0
160.0,92,66,0
164.0,93,75,0
165.0,94,73,0
167.5,95,66,0
168.0,96,71,0
169.5,97,70,0
170.0,98,71,0
171.5,99,73,0
172.0,100,71,0
172.66666666666666,101,70,0
173.33333333333334,102,69,0
174.0,103,68,0
174.5,104,67,0
175.5,105,66,0
177.5,106,66,0
182.5,107,66,0
183.0,108,67,0
184.0,109,68,0
185.5,110,67,0
186.0,111,68,0
186.5,112,70,0
188.0,113,68,0
188.66666666666666,114,67,0
189.33333333333334,115,66,0
190.0,116,65,0
191.0,117,64,0
191.5,118,63,0
193.5,119,63,0
198.5,120,63,0
200.0,121,59,0
204.0,122,68,0
205.0,123,66,0
206.5,124,68,0
208.0,125,58,0
212.0,126,70,0
213.0,127,68,0
214.5,128,70,0
216.0,129,63,0
220.0,130,73,0
221.0,131,71,0
222.5,132,63,0
224.0,133,66,0
228.0,134,75,0
229.0,135,73,0
230.5,136,66,0
232.0,137,71,0
233.5,138,70,0
234.0,139,71,0
235.0,140,73,0
236.0,141,75,0
236.66666666666666,142,73,0
237.33333333333334,143,71,0
238.0,144,70,0
238.5,145,69,0
239.5,146,68,0
244.0,147,71,0
244.66666666666666,148,70,0
245.33333333333334,149,69,0
246.0,150,68,0
247.0,151,67,0
247.5,152,66,0
252.0,153,70,0
252.66666666666666,154,68,0
253.33333333333334,155,67,0
254.0,156,66,0
255.0,157,73,0
255.5,158,71,0
262.0,159,0,1
264.0,159,0,4
