Beat,Position,Pitch,Type
0.0,0,0,1
7.0,0,76,0
7.5,1,79,0
8.0,1,0,1
8.5,2,74,0
9.5,3,72,0
10.0,4,71,0
10.5,5,72,0
11.0,6,74,0
11.5,7,76,0
12.0,8,75,0
12.5,9,67,0
13.0,10,70,0
13.5,11,74,0
14.0,12,72,0
15.0,13,74,0
15.5,14,77,0
16.0,15,0,1
16.5,15,72,0
17.5,16,70,0
18.0,17,69,0
18.5,18,70,0
19.0,19,72,0
19.5,20,74,0
20.0,21,73,0
20.5,22,65,0
21.0,23,68,0
21.5,24,72,0
22.0,25,70,0
23.0,26,72,0
23.5,27,75,0
24.0,28,0,1
24.5,28,72,0
25.5,29,68,0
26.0,30,67,0
26.5,31,70,0
27.0,32,68,0
27.5,33,67,0
30.5,34,70,0
31.0,35,68,0
31.5,36,67,0
36.0,37,0,1
39.0,37,76,0
39.5,38,79,0
40.0,39,0,1
40.5,39,74,0
41.5,40,72,0
42.0,41,71,0
42.5,42,72,0
43.0,43,74,0
43.5,44,76,0
44.0,45,75,0
44.5,46,67,0
45.0,47,70,0
45.5,48,74,0
46.0,49,72,0
47.0,50,74,0
47.5,51,77,0
48.0,52,0,1
48.5,52,72,0
49.5,53,70,0
50.0,54,69,0
50.5,55,70,0
51.0,56,72,0
51.5,57,74,0
52.0,58,73,0
52.5,59,65,0
53.0,60,68,0
53.5,61,72,0
54.0,62,70,0
55.0,63,72,0
55.5,64,75,0
56.0,65,0,1
56.5,65,72,0
57.5,66,68,0
58.0,67,67,0
58.5,68,70,0
59.0,69,68,0
59.5,70,67,0
62.5,71,70,0
63.0,72,68,0
63.5,73,67,0
68.0,74,0,1
70.5,74,69,0
71.0,75,71,0
71.5,76,72,0
75.0,77,74,0
75.5,78,76,0
79.0,79,74,0
79.5,80,72,0
83.0,81,75,2
83.0,82,76,0
83.5,83,69,0
87.0,84,71,0
87.5,85,72,0
91.0,86,74,0
91.5,87,76,0
95.0,88,77,0
95.5,89,79,0
98.0,90,79,0
98.5,91,76,0
99.0,92,77,0
99.5,93,79,0
103.0,94,76,0
103.5,95,79,0
104.0,96,0,1
104.5,96,74,0
105.5,97,72,0
106.0,98,71,0
106.5,99,72,0
107.0,100,74,0
107.5,101,76,0
108.0,102,75,0
108.5,103,67,0
109.0,104,70,0
109.5,105,74,0
110.0,106,72,0
111.0,107,74,0
111.5,108,77,0
112.0,109,0,1
112.5,109,72,0
113.5,110,70,0
114.0,111,69,0
114.5,112,70,0
115.0,113,72,0
115.5,114,74,0
116.0,115,73,0
116.5,116,65,0
117.0,117,68,0
117.5,118,72,0
118.0,119,70,0
119.0,120,72,0
119.5,121,75,0
120.0,121,0,1
120.5,122,72,0
121.5,123,68,0
122.0,124,67,0
122.5,125,70,0
123.0,126,68,0
123.5,127,67,0
126.5,128,70,0
127.0,129,68,0
127.5,130,67,0
136.0,131,0,4
