On,Off,Pitch,Velocity
2125000.0,2252500.0,75,115
2312500.0,2410000.0,78,114
2595000.0,2742500.0000000005,73,109
2895000.0,3020000.0,71,122
3010000.0,3135000.0,70,85
3195000.0,3320000.0,71,113
3310000.0,3435000.0,73,76
3490000.0,3615000.0,75,115
3605000.0000000005,3742500.0,74,121
3792500.0000000005,3917500.0,66,82
3902500.0,4027500.0,69,100
4107500.0,4232500.0,73,113
4240000.0,4365000.0,71,78
4545000.0,4665000.0,73,123
4735000.0,4877500.0,76,112
5010000.0,5150000.0,71,104
5312500.0,5437500.0,69,127
5425000.0,5550000.0,68,85
5587500.0,5660000.0,69,119
5710000.000000001,5830000.0,71,75
5885000.0,6010000.000000001,73,99
6002500.0,6127500.0,72,120
6022500.0,6060000.0,71,25
6190000.0,6315000.0,64,99
6312500.0,6437500.0,67,100
6495000.0,6620000.0,71,110
6615000.0,6760000.000000001,69,106
6935000.0,7062500.0,71,118
7135000.000000001,7262500.0,74,125
7414999.999999999,7517500.0,71,110
7705000.0,7830000.0,67,126
7830000.0,7952500.0,66,80
8017500.0,8092500.0,69,121
8140000.0,8257500.0,67,109
8330000.0,9110000.0,66,109
9227500.0,9297500.0,69,126
9345000.0,9482500.0,67,89
9540000.0,10897500.0,66,111
11720000.000000002,11845000.0,75,111
11917500.0,12062500.0,78,115
12210000.0,12367500.0,73,115
12500000.0,12625000.0,71,116
12640000.0,12765000.0,70,85
12790000.0,12852500.0,71,116
12907500.0,13032500.000000002,73,90
13082500.0,13207500.0,75,118
13205000.0,13329999.999999998,74,121
13397500.0,13522500.0,66,94
13515000.0,13640000.0,69,100
13712500.0,13850000.0,73,111
13835000.0,13980000.0,71,95
14152500.0,14252500.0,73,111
14340000.0,14500000.0,76,106
14620000.0,14757500.000000002,71,109
14904999.999999998,14975000.0,69,123
15025000.0,15125000.0,68,81
15185000.0,15277500.0,69,123
15322500.0,15415000.0,71,75
15480000.0,15547500.0,73,123
15605000.0,15722500.0,72,111
15804999.999999998,15885000.0,64,81
15920000.000000002,16027500.0,67,105
16104999.999999998,16162500.0,71,113
16227500.0,16360000.0,69,110
16527500.0,16657500.0,71,101
16727500.0,16860000.0,74,126
17012500.0,17207500.0,71,110
17312500.0,17387500.0,67,121
17430000.0,17537500.0,66,76
17605000.0,17685000.0,69,121
17727500.0,17857500.0,67,97
17920000.0,18692500.0,66,103
18830000.0,18902500.0,69,126
18937500.0,19080000.0,67,86
19145000.0,20830000.0,66,109
21205000.0,21275000.0,68,113
21320000.0,21432500.0,70,107
21507500.0,22335000.0,71,116
22525000.0,22657500.0,73,113
22735000.0,23545000.0,75,119
23717500.0,23872500.0,73,110
23940000.0,24822499.999999996,71,113
24910000.0,24927500.0,74,121
24917500.0,25110000.0,75,113
25130000.0,26110000.0,68,104
26120000.0,26302500.0,70,104
26337500.0,27320000.0,71,107
27322500.0,27517500.0,73,103
27550000.0,28527500.0,75,97
28530000.0,28705000.0,76,104
28730000.0,29270000.0,78,111
29415000.0,29567500.0,78,111
29617500.0,29685000.0,75,84
29715000.0,29817500.0,76,90
29895000.0,30725000.0,78,113
30932500.0,31022500.0,75,106
31132500.0,31280000.0,78,111
31422499.999999996,31572499.999999996,73,110
31720000.0,31795000.0,71,108
31845000.0,31935000.0,70,77
31995000.0,32059999.999999996,71,112
32120000.0,32202500.0,73,97
32272500.0,32340000.0,75,100
32405000.0,32500000.0,74,112
32600000.0,32655000.0,66,74
32707500.0,32820000.0,69,109
32892500.0,32957500.0,73,107
33017500.0,33160000.0,71,100
33342500.0,33452500.000000004,73,115
33540000.0,33645000.0,76,108
33817500.0,34005000.0,71,109
34122500.0,34190000.0,69,120
34245000.0,34337500.0,68,75
34397500.0,34457500.0,69,117
34517500.0,34632500.0,71,69
34685000.0,34747500.0,73,121
34802500.0,34905000.0,72,113
34995000.0,35052500.0,64,82
35107500.0,35205000.0,67,103
35292500.0,35350000.0,71,105
35415000.0,35547500.0,69,111
35727500.0,35835000.0,71,99
35925000.0,36017500.0,74,127
36225000.0,36317500.0,71,106
36502500.0,36572500.0,67,115
36632500.0,36725000.0,66,65
36792500.0,36855000.0,69,119
36917500.0,37042500.0,67,89
37110000.0,37852500.0,66,106
38027500.0,38097500.0,69,123
38145000.0,38272500.0,67,93
38342500.0,39819999.99999999,66,105
78937500.0,79039999.99999999,75,106
79117500.0,79202500.0,78,115
79395000.0,79542500.0,73,109
79695000.0,79820000.0,71,122
79810000.00000001,79935000.0,70,85
79995000.0,80120000.0,71,113
80110000.00000001,80235000.0,73,76
80290000.0,80415000.0,75,115
80405000.0,80542500.0,74,121
80592500.0,80717500.0,66,82
80702500.0,80827500.0,69,100
80907500.0,81032500.0,73,113
81040000.0,81165000.0,71,78
81345000.0,81465000.0,73,123
81535000.00000001,81677500.0,76,112
81810000.0,81950000.0,71,104
82112500.0,82237500.0,69,127
82225000.0,82350000.0,68,85
82387500.0,82460000.0,69,119
82510000.00000001,82630000.0,71,75
82685000.0,82810000.00000001,73,99
82802500.0,82927500.0,72,120
82822500.0,82860000.0,71,25
82990000.0,83115000.0,64,99
83112500.0,83237500.0,67,100
83295000.0,83420000.0,71,110
83415000.0,83560000.00000001,69,106
83735000.0,83862500.0,71,118
83935000.00000001,84062500.0,74,125
84214999.99999999,84317500.0,71,110
84505000.0,84630000.0,67,126
84630000.0,84752500.0,66,80
84817500.0,84892500.0,69,121
84940000.0,85057500.0,67,109
85130000.0,85910000.0,66,109
86027500.0,86097500.0,69,126
86145000.0,86282500.0,67,89
86340000.0,87697500.0,66,111
88520000.0,88645000.0,75,111
88717500.0,88862500.0,78,115
89010000.0,89167500.0,73,115
89300000.0,89425000.0,71,116
89440000.0,89565000.0,70,85
89590000.0,89652499.99999999,71,116
89707500.0,89832500.0,73,90
89882500.0,90007500.0,75,118
90005000.0,90130000.0,74,121
90197500.00000001,90322500.0,66,94
90315000.0,90439999.99999999,69,100
90512500.0,90650000.0,73,111
90635000.0,90780000.0,71,95
90952500.0,91052500.0,73,111
91140000.0,91300000.0,76,106
91420000.0,91557500.0,71,109
91705000.0,91775000.0,69,123
91825000.0,91925000.0,68,81
91985000.0,92077500.0,69,123
92122500.0,92215000.0,71,75
92280000.0,92347500.0,73,123
92405000.0,92522500.00000001,72,111
92605000.0,92685000.0,64,81
92720000.0,92827500.0,67,105
92905000.0,92962500.0,71,113
93027499.99999999,93160000.00000001,69,110
93327499.99999999,93457500.0,71,101
93527500.0,93660000.0,74,126
93812500.0,94007500.0,71,110
94112500.0,94187500.0,67,121
94230000.0,94337500.0,66,76
94405000.0,94485000.0,69,121
94527499.99999999,94657500.0,67,97
94720000.0,95492500.0,66,103
95630000.0,95702500.0,69,126
95737500.0,95880000.0,67,86
95945000.0,97630000.0,66,109
98005000.0,98075000.0,68,113
98120000.0,98232500.0,70,107
98307500.0,99135000.0,71,116
99325000.0,99457500.0,73,113
99535000.00000001,100345000.0,75,119
100517500.0,100672500.0,73,110
100740000.0,101622500.0,71,113
101710000.00000001,101727499.99999999,74,121
101717500.0,101910000.0,75,113
101930000.0,102910000.00000001,68,104
102920000.0,103102500.0,70,104
103137500.0,104120000.0,71,107
104122500.0,104317500.0,73,103
104350000.0,105327499.99999999,75,97
105330000.0,105505000.0,76,104
105530000.0,106070000.0,78,111
106215000.0,106367500.0,78,111
106417500.0,106485000.0,75,84
106515000.0,106617500.0,76,90
106695000.0,107525000.0,78,113
107732500.0,107822500.00000001,75,106
107932500.0,108080000.0,78,111
108222500.0,108372500.0,73,110
108520000.0,108595000.0,71,108
108645000.0,108735000.0,70,77
108795000.0,108860000.0,71,112
108920000.0,109002499.99999999,73,97
109072500.0,109140000.0,75,100
109205000.0,109300000.0,74,112
109400000.0,109455000.0,66,74
109507500.0,109620000.0,69,109
109692500.0,109757500.0,73,107
109817500.0,109960000.00000001,71,100
110142500.0,110252500.0,73,115
110340000.0,110445000.0,76,108
110617500.0,110805000.0,71,109
110922500.0,110989999.99999999,69,120
111045000.0,111137500.0,68,75
111197500.00000001,111257500.0,69,117
111317500.0,111432500.0,71,69
111485000.0,111547500.0,73,121
111602500.0,111705000.0,72,113
111795000.0,111852499.99999999,64,82
111907500.0,112005000.0,67,103
112092500.0,112150000.0,71,105
112215000.0,112347500.0,69,111
112527499.99999999,112635000.0,71,99
112725000.0,112817500.0,74,127
113025000.0,113117500.0,71,106
113302500.0,113372500.00000001,67,115
113432500.0,113525000.0,66,65
113592500.0,113655000.0,69,119
113717500.0,113842500.0,67,89
113910000.0,114652500.0,66,106
114827500.0,114897500.0,69,123
114945000.0,115072500.0,67,93
115142500.0,116620000.0,66,105
117337500.0,117439999.99999999,75,106
117517500.0,117602500.0,78,115
117832500.0,117975000.0,73,113
118050000.0,118182500.0,71,91
118290000.0,118492500.0,73,110
118550000.0,118732500.0,63,61
118757500.0,119850000.0,66,106
