Beat,Position,Pitch,Type
0.0,0,0,1
0.5,0,63,0
1.0,1,65,0
1.5,2,63,0
2.0,3,70,0
2.5,4,70,0
4.0,5,65,0
4.666666666666667,6,67,0
5.333333333333333,7,65,0
6.0,8,72,0
8.0,9,0,1
8.5,9,70,0
9.0,10,72,0
9.5,11,70,0
10.0,12,75,0
10.5,13,75,0
11.5,14,74,0
12.0,15,77,0
12.666666666666666,16,75,0
13.333333333333334,17,72,0
14.0,18,67,0
14.25,19,66,0
14.5,20,65,0
16.0,21,0,1
16.5,21,63,0
17.0,22,65,0
17.5,23,63,0
18.0,24,70,0
18.5,25,70,0
20.0,26,65,0
20.666666666666668,27,67,0
21.333333333333332,28,65,0
22.0,29,72,0
23.0,30,70,0
23.5,31,67,0
30.0,32,0,1
32.5,32,63,0
33.0,33,65,0
33.5,34,63,0
34.0,35,70,0
34.5,36,70,0
36.0,37,65,0
36.5,38,67,0
37.0,39,65,0
37.5,40,72,0
40.0,41,0,1
40.5,41,70,0
41.0,42,72,0
41.5,43,70,0
42.0,44,75,0
42.5,45,75,0
43.5,46,74,0
44.0,47,77,0
44.666666666666664,48,75,0
45.333333333333336,49,72,0
46.0,50,67,0
46.25,51,66,0
46.5,52,65,0
48.0,53,0,1
48.5,53,63,0
49.0,54,65,0
49.5,55,63,0
50.0,56,70,0
50.5,57,70,0
52.0,58,65,0
52.5,59,67,0
53.0,60,65,0
53.5,61,72,0
55.0,62,70,0
55.5,63,63,0
62.0,64,0,1
64.5,64,75,0
65.5,65,72,0
66.0,66,75,0
66.5,67,72,0
68.0,68,0,1
68.5,68,75,0
69.5,69,72,0
70.0,70,75,0
70.5,71,72,0
72.0,72,0,1
72.5,72,75,0
73.5,73,72,0
74.0,74,75,0
74.5,75,72,0
76.0,76,0,1
76.5,76,76,0
77.5,77,72,0
78.0,78,76,0
78.5,79,72,0
80.5,80,77,0
82.0,81,77,0
83.0,82,77,0
84.0,83,77,0
85.0,84,75,0
86.0,85,74,0
87.0,86,72,0
87.5,87,70,0
90.0,88,71,2
90.0,89,72,0
92.0,90,66,2
92.0,91,67,0
93.5,92,65,0
96.0,92,0,1
96.5,93,63,0
97.0,94,65,0
97.5,95,63,0
98.0,96,70,0
98.5,97,70,0
100.0,98,65,0
100.5,99,67,0
101.0,100,65,0
101.5,101,72,0
104.0,102,0,1
104.5,102,70,0
105.0,103,72,0
105.5,104,70,0
106.0,105,75,0
106.5,106,75,0
107.5,107,74,0
108.0,108,77,0
108.66666666666667,109,75,0
109.33333333333333,110,72,0
110.0,111,67,0
110.25,112,66,0
110.5,113,65,0
112.0,114,0,1
112.5,114,63,0
113.0,115,65,0
113.5,116,63,0
114.0,117,70,0
114.5,118,70,0
116.0,119,65,0
116.5,120,67,0
117.0,121,65,0
117.5,122,72,0
119.0,123,70,0
119.5,124,75,0
124.0,125,0,1
128.0,125,0,4
