On,Off,Pitch,Velocity
324999.675,474999.525,63,95
460713.82499999995,753570.6749999999,65,77
753570.6749999999,860713.4249999999,63,71
892856.2500000001,1117856.0250000001,70,96
1196427.375,1624998.375,70,94
1742855.4,2017855.1249999998,65,84
2049997.95,2321426.25,67,83
2307140.5500000003,2585711.6999999997,65,86
2585711.6999999997,3471425.0999999996,72,86
3739281.9749999996,3849996.1499999994,70,100
3878567.5500000003,4096424.475,72,80
4174995.825,4232138.625,70,78
4321424.25,4532138.324999999,75,102
4624995.375,4917852.225,75,103
5049994.95,5121423.449999999,74,47
5164280.550000001,5382137.475000001,77,94
5457137.399999999,5732137.125,75,95
5728565.7,5942851.2,72,79
6049993.95,6221422.350000001,67,74
6207136.649999999,6346422.225000001,66,88
6339279.375,7024992.975,65,81
7185707.1,7339278.375,63,99
7335706.95,7589278.124999999,65,68
7607135.25,7724992.274999999,63,77
7757135.100000001,7960706.324999999,70,88
8053563.375000001,8510705.775,70,96
8607134.25,8867848.275,65,78
8892848.25,9171419.399999999,67,79
9153562.275,9449990.55,65,68
9435704.85,9660704.625,72,85
9871418.700000001,10096418.475,70,95
10171418.4,13657129.200000001,67,89
14021414.55,14192842.950000001,63,90
14178557.250000002,14499985.500000002,65,73
14460699.825000001,14596413.974999998,63,78
14607128.250000002,14835699.450000001,70,87
14924985.075000001,15421413.15,70,85
15464270.250000002,15742841.4,65,83
15764269.95,15953555.475000001,67,82
15924984.075,16189269.524999999,65,82
16192840.95,17417839.724999998,72,88
17457125.400000002,17617839.525000002,70,92
17614268.1,17878553.55,72,66
17899982.099999998,17974982.025000002,70,57
18021410.549999997,18271410.3,75,96
18342838.799999997,18574981.425,75,98
18739266.975,18828552.599999998,74,69
18874981.125,19146409.424999997,77,90
19174980.825,19460694.825,75,90
19449980.55,19660694.625,72,79
19767837.375,19917837.225,67,72
19907122.950000003,20053551.375,66,83
20046408.525,20707122.150000002,65,82
20889264.825,20996407.575,63,99
21028550.400000002,21249978.75,65,47
21296407.275000002,21435692.849999998,63,68
21457121.400000002,21660692.625,70,94
21757121.099999998,22232120.625,70,90
22314263.400000002,22582120.275000002,65,84
22617834.525,22764262.95,67,54
22732120.125,23017834.125,65,80
23039262.675,23564262.150000002,72,89
23585690.7,23871404.700000003,70,87
23910690.375,26960687.325,63,84
27778543.65,27967829.175000004,75,102
28185686.099999998,28321400.249999996,72,70
28328543.099999998,28621399.95,75,96
28642828.499999996,29271399.299999997,72,84
29478541.95,29696398.875000004,75,100
29889255.824999996,30017827.125000004,72,78
30042827.099999998,30339255.375000004,75,101
30346398.225,30767826.375000004,72,90
31196397.375000004,31371397.200000003,75,101
31607111.25,31764253.949999996,72,82
31757111.099999998,32039253.675000004,75,96
32053539.375000004,32564253.150000002,72,81
32899967.099999998,33103538.324999996,76,97
33321395.25,33403538.025,72,29
33446395.125000004,33753537.675000004,76,91
33771394.8,34157108.7,72,88
34621393.949999996,35042822.1,77,96
35178536.25,35417821.725,77,88
35589250.125,35839249.875,77,84
36021392.55,36264249.449999996,77,84
36435677.85,36664249.05,75,95
36889248.825,37110677.175000004,74,96
37314248.4,37574962.425,72,91
37617819.525000006,38471390.1,70,93
38574961.425000004,38682104.175000004,71,83
38617818.525,39274960.725,72,75
39446389.125,39521389.050000004,66,101
39510674.775,40192816.949999996,67,82
40196388.375,41167815.975,65,85
41464244.25,41614244.099999994,63,99
41599958.4,41892815.25,65,79
41910672.375,42028529.4,63,56
42049957.949999996,42271386.300000004,70,93
42360671.925000004,42857100.0,70,94
42889242.825,43157099.7,65,88
43182099.675000004,43346385.225,67,81
43321385.25,43624956.375,65,70
43632099.225,44635669.650000006,72,94
44892812.25,45032097.825,70,101
45042812.099999994,45314240.4,72,45
45317811.824999996,45410668.875,70,68
45478525.949999996,45685668.599999994,75,101
45789239.925000004,46021382.550000004,75,96
46160668.125,46264239.45,74,82
46314239.4,46549953.449999996,77,91
46596381.974999994,46824953.175000004,75,85
46860667.425000004,47074952.925000004,72,86
47174952.825,47346381.224999994,67,64
47317809.824999996,47449952.550000004,66,77
47446381.125,48074951.925,65,84
48328523.1,48478522.949999996,63,96
48474951.525,48767808.375,65,65
48753522.675000004,48857094.0,63,73
48885665.4,49117808.025,70,91
49207093.65,49660664.625,70,97
49757093.099999994,50014235.7,65,76
50039235.675000004,50199949.800000004,67,85
50189235.525,50421378.150000006,65,71
50449949.550000004,50985663.300000004,72,90
51017806.125,51292805.85,70,83
51328520.1,54542802.6,75,94
110039175.675,110189175.525,63,95
110174889.82499999,110467746.675,65,77
110467746.675,110574889.425,63,71
110607032.24999999,110832032.025,70,96
110910603.37500001,111339174.37500001,70,94
111457031.39999999,111732031.12499999,65,84
111764173.95000002,112035602.25000001,67,83
112021316.55,112299887.70000002,65,86
112299887.70000002,113185601.10000001,72,86
113453457.97500001,113564172.15,70,100
113592743.55000001,113810600.47500001,72,80
113889171.825,113946314.625,70,78
114035600.24999999,114246314.32499999,75,102
114339171.37500001,114632028.22500001,75,103
114764170.95000002,114835599.44999999,74,47
114878456.55000001,115096313.47500001,77,94
115171313.4,115446313.125,75,95
115442741.7,115657027.2,72,79
115764169.95,115935598.35,67,74
115921312.65,116060598.22500001,66,88
116053455.37500001,116739168.975,65,81
116899883.1,117053454.375,63,99
117049882.95,117303454.12499999,65,68
117321311.25,117439168.27499999,63,77
117471311.10000001,117674882.32499999,70,88
117767739.37500001,118224881.775,70,96
118321310.24999999,118582024.27499999,65,78
118607024.25,118885595.39999999,67,79
118867738.275,119164166.55000001,65,68
119149880.85,119374880.62500001,72,85
119585594.70000002,119810594.47500001,70,95
119885594.4,123371305.2,67,89
123735590.54999998,123907018.95,63,90
123892733.24999999,124214161.49999999,65,73
124174875.825,124310589.97500001,63,78
124321304.24999999,124549875.45,70,87
124639161.07499999,125135589.15,70,85
125178446.24999999,125457017.4,65,83
125478445.95000002,125667731.47500001,67,82
125639160.07500002,125903445.52499999,65,82
125907016.95000002,127132015.725,72,88
127171301.4,127332015.525,70,92
127328444.10000001,127592729.54999998,72,66
127614158.1,127689158.02499999,70,57
127735586.55000001,127985586.3,75,96
128057014.80000001,128289157.42499998,75,98
128453442.97500001,128542728.60000001,74,69
128589157.12500001,128860585.42500001,77,90
128889156.825,129174870.82500002,75,90
129164156.55,129374870.625,72,79
129482013.375,129632013.22500001,67,72
129621298.94999999,129767727.37500001,66,83
129760584.52499999,130421298.14999999,65,82
130603440.825,130710583.575,63,99
130742726.39999999,130964154.74999999,65,47
131010583.27499999,131149868.85,63,68
131171297.39999999,131374868.62500001,70,94
131471297.1,131946296.625,70,90
132028439.39999999,132296296.27499999,65,84
132332010.52499999,132478438.95,67,54
132446296.12500001,132732010.12499999,65,80
132753438.675,133278438.15,72,89
133299866.70000002,133585580.69999999,70,87
133624866.37500001,136674863.32500002,63,84
137492719.65,137682005.17499998,75,102
137899862.1,138035576.25,72,70
138042719.10000002,138335575.95000002,75,96
138357004.5,138985575.3,72,84
139192717.95000002,139410574.875,75,100
139603431.82500002,139732003.125,72,78
139757003.10000002,140053431.375,75,101
140060574.225,140482002.375,72,90
140910573.375,141085573.2,75,101
141321287.25,141478429.95000002,72,82
141471287.10000002,141753429.67499998,75,96
141767715.375,142278429.15,72,81
142614143.1,142817714.32500002,76,97
143035571.25,143117714.025,72,29
143160571.125,143467713.67499998,76,91
143485570.8,143871284.7,72,88
144335569.95000002,144756998.1,77,96
144892712.25,145131997.725,77,88
145303426.125,145553425.875,77,84
145735568.55,145978425.45000002,77,84
146149853.85,146378425.05,75,95
146603424.825,146824853.17499998,74,96
147028424.4,147289138.425,72,91
147331995.52499998,148185566.1,70,93
148289137.42499998,148396280.17499998,71,83
148331994.525,148989136.725,72,75
149160565.125,149235565.04999998,66,101
149224850.775,149906992.95000002,67,82
149910564.375,150881991.975,65,85
151178420.25,151328420.10000002,63,99
151314134.4,151606991.25,65,79
151624848.375,151742705.4,63,56
151764133.95000002,151985562.29999998,70,93
152074847.92499998,152571276.0,70,94
152603418.825,152871275.7,65,88
152896275.67499998,153060561.225,67,81
153035561.25,153339132.375,65,70
153346275.225,154349845.64999998,72,94
154606988.25,154746273.825,70,101
154756988.10000002,155028416.4,72,45
155031987.82500002,155124844.875,70,68
155192701.95000002,155399844.60000002,75,101
155503415.92499998,155735558.54999998,75,96
155874844.125,155978415.45,74,82
156028415.4,156264129.45000002,77,91
156310557.97500002,156539129.17499998,75,85
156574843.42499998,156789128.92499998,72,86
156889128.825,157060557.22500002,67,64
157031985.82500002,157164128.54999998,66,77
157160557.125,157789127.925,65,84
158042699.1,158192698.95000002,63,96
158189127.525,158481984.375,65,65
158467698.67499998,158571270.0,63,73
158599841.4,158831984.025,70,91
158921269.65,159374840.625,70,97
159471269.10000002,159728411.7,65,76
159753411.67499998,159914125.79999998,67,85
159903411.525,160135554.14999998,65,71
160164125.54999998,160699839.29999998,72,90
160731982.125,161006981.85,70,83
161042696.1,164256978.6,75,94
164896263.67499998,165067692.07500002,63,87
165067692.07500002,165321263.25,65,64
165303406.125,165453405.975,63,67
165510548.775,165817691.32500002,72,87
165835548.45,165967691.17499998,67,56
166164119.54999998,167996260.57500002,70,103
