Beat,Position,Pitch,Type
0.0,0,0,1
1.0,0,65,0
1.3333333333333333,1,67,0
1.6666666666666665,2,65,0
2.0,3,60,0
2.5,4,65,0
3.0,5,68,0
3.5,6,72,0
4.0,7,66,0
5.0,8,75,0
7.0,9,73,0
7.5,10,72,0
8.0,11,0,1
9.5,11,60,0
10.0,12,65,0
11.0,13,67,0
11.5,14,69,0
13.5,15,69,0
14.0,16,70,0
15.0,17,72,0
16.0,18,0,1
17.0,18,70,0
17.333333333333332,19,72,0
17.666666666666668,20,70,0
18.0,21,65,0
18.5,22,70,0
19.0,23,73,0
19.5,24,77,0
20.0,25,71,0
21.0,26,80,0
23.0,27,78,0
23.5,28,77,0
25.5,29,65,0
26.0,30,70,0
27.0,31,72,0
27.5,32,74,0
30.0,33,0,1
32.0,33,77,0
36.0,34,79,0
37.0,35,79,0
39.0,36,77,0
39.5,37,76,0
44.0,38,78,0
45.0,39,78,0
47.25,40,76,0
47.5,41,75,0
52.0,42,77,0
53.0,43,77,0
55.0,44,75,0
55.5,45,74,0
63.0,46,0,1
64.0,46,73,0
68.0,47,75,0
69.0,48,75,0
71.0,49,73,0
71.5,50,72,0
79.0,51,0,1
81.0,51,65,0
81.33333333333333,52,67,0
81.66666666666667,53,65,0
82.0,54,60,0
82.5,55,65,0
83.0,56,68,0
83.5,57,72,0
84.0,58,66,0
85.0,59,75,0
87.0,60,73,0
88.0,61,72,0
89.5,62,60,0
90.0,63,65,0
91.0,64,67,0
91.5,65,69,0
93.5,66,69,0
94.0,67,70,0
95.0,68,72,0
96.0,69,0,1
97.0,69,70,0
97.33333333333333,70,72,0
97.66666666666667,71,70,0
98.0,72,65,0
98.5,73,70,0
99.0,74,73,0
99.5,75,77,0
100.0,76,71,0
101.0,77,80,0
103.0,78,78,0
103.5,79,77,0
105.5,80,65,0
106.0,81,70,0
107.0,82,72,0
107.5,83,74,0
112.0,84,77,0
116.0,85,79,0
117.0,86,79,0
119.0,87,77,0
119.5,88,76,0
120.0,89,75,0
121.5,90,72,0
122.5,91,78,0
123.5,92,76,0
124.0,93,77,0
126.0,94,70,0
126.5,95,71,0
128.0,96,72,0
129.5,97,68,0
130.5,98,65,0
131.0,99,70,0
132.5,100,68,0
133.5,101,65,0
134.0,102,64,0
135.5,103,62,0
136.0,104,63,0
136.5,105,68,0
138.0,105,0,1
140.0,105,0,1
144.0,105,0,4
