On,Off,Pitch,Velocity
0.0,691963.9166666667,72,100
758928.1666666667,946428.0666666667,72,89
1080356.5666666667,1705356.2333333332,72,90
1803570.4666666668,2075891.75,72,100
2174105.9833333334,2687498.5666666664,72,96
2910712.7333333334,3093748.35,72,95
3191962.583333333,3602676.65,72,84
3584819.5166666666,3892855.0666666664,73,102
3919640.7666666666,4285712.0,68,87
4299104.850000001,7821424.399999999,72,91
8383924.100000001,8486602.616666667,63,105
8575888.283333333,9290173.616666665,72,93
9410709.266666666,9580352.033333333,72,88
9674101.983333334,10263387.383333335,72,100
10491065.833333332,10745529.983333334,72,101
10749994.266666666,11772315.15,73,95
11785708.0,12111600.683333334,72,98
12169636.366666665,12446421.933333334,70,98
12482136.200000001,12794636.033333333,68,96
12848207.433333334,16522312.616666665,67,94
16616062.566666666,16928562.400000002,63,102
17116062.3,17348205.03333333,70,98
17499990.666666664,17736597.683333334,70,98
17825883.349999998,18111597.48333333,70,77
18218740.28333333,18897311.349999998,70,83
19031239.849999998,19205346.900000002,70,97
19316953.98333333,19558025.28333333,70,102
19638382.383333333,19857132.26666667,70,78
19964275.066666666,20209810.650000002,70,90
20330346.3,20629453.28333333,70,97
20691953.25,21071417.333333336,72,95
21053560.2,21486595.683333334,67,82
21441952.849999998,24339272.73333333,70,104
24477665.51666667,25191950.849999998,72,98
25178558.0,25642843.46666667,70,102
25700879.150000002,26656235.78333333,68,101
26785700.0,27142842.666666664,68,93
27308021.150000002,27709806.650000002,68,96
27874985.133333333,28187484.96666667,68,104
28285699.2,29334805.78333333,68,99
29446412.866666667,29754448.416666664,68,98
29861591.21666667,32111590.01666667,67,91
