Beat,Position,Pitch,Type
0.0,0,0,1
8.0,0,68,0
12.0,1,73,0
14.5,2,68,0
16.0,3,67,0
17.5,4,67,0
18.166666666666668,5,67,0
18.833333333333332,6,67,0
19.5,7,67,0
20.5,8,72,0
22.5,9,67,0
24.0,10,65,0
25.5,11,65,0
26.166666666666668,12,65,0
26.833333333333332,13,65,0
27.5,14,65,0
28.5,15,71,0
30.5,16,65,0
32.0,17,64,0
40.0,18,63,0
43.5,19,68,0
46.5,20,63,0
48.0,21,62,0
49.0,22,62,0
50.0,23,62,0
50.5,24,62,0
51.5,25,62,0
52.5,26,67,0
54.5,27,61,2
54.5,28,62,0
56.0,29,60,0
57.5,30,60,0
58.166666666666664,31,60,0
58.833333333333336,32,60,0
59.5,33,60,0
60.666666666666664,34,62,0
61.333333333333336,35,63,0
62.0,36,62,0
63.0,37,60,0
63.5,38,59,0
69.5,39,62,0
70.0,40,67,0
70.5,41,74,0
72.0,42,74,0
73.5,43,72,0
74.25,44,72,0
77.5,45,63,0
78.16666666666667,46,64,0
78.83333333333333,47,72,0
79.5,48,71,0
85.5,49,62,0
86.16666666666667,50,67,0
86.83333333333333,51,71,0
88.0,52,71,0
89.0,53,69,0
89.5,54,69,0
92.5,55,58,0
94.0,56,59,0
94.5,57,69,0
95.5,58,68,0
104.0,59,68,0
107.5,60,73,0
110.5,61,68,0
112.0,62,67,0
113.5,63,67,0
114.16666666666667,64,67,0
114.83333333333333,65,67,0
115.5,66,67,0
116.5,67,72,0
118.5,68,67,0
120.0,69,65,0
123.5,70,75,0
126.5,71,73,0
128.0,72,63,0
129.5,73,63,0
130.0,74,63,0
130.66666666666666,75,63,0
131.33333333333334,76,63,0
132.0,77,67,0
134.5,78,65,0
136.0,79,61,0
137.0,80,65,0
137.5,81,68,0
139.0,82,73,0
140.0,83,77,0
142.0,84,67,0
143.5,85,68,0
152.0,86,0,4
