On,Off,Pitch,Velocity
3318493.925,5006850.483333333,68,102
4979453.216666667,6089042.516666667,73,82
6075343.883333333,6493152.2,68,105
6589042.633333334,7102741.383333334,67,100
7250001.691666666,7404111.316666666,67,100
7523974.358333333,7688357.958333333,67,89
7808221.0,7969179.941666666,67,85
8133563.541666667,8301371.8,67,98
8544522.541666668,9256851.475,72,100
9363015.883333335,9712331.033333333,67,107
9866440.658333333,10363016.116666665,65,100
10544523.008333335,10712331.266666666,65,105
10839043.625,10996577.908333333,65,80
11133564.241666665,11294523.183333334,65,87
11434934.174999999,11606167.091666667,65,98
11825345.225,12523975.525,71,98
12640413.908333333,13167811.291666666,65,102
13178085.266666668,15897263.983333332,64,100
16452058.633333333,17880141.15833333,63,95
17976031.59166667,19188360.64166667,68,89
19212333.25,19613018.275000002,63,95
19729456.65833333,19924662.183333334,62,102
20150689.633333333,20328771.866666667,62,82
20582196.583333336,20760278.816666666,62,95
20910963.78333333,21037676.14166667,62,82
21273977.566666666,21407539.241666667,62,100
21681511.90833333,22328772.333333336,67,95
22527402.51666667,22571923.075,61,93
22568498.416666664,22989731.39166667,62,105
23061649.21666667,23476032.875,60,102
23702060.325,23849320.633333333,60,89
23965759.01666667,24116443.98333333,60,82
24243156.34166667,24397265.96666667,60,80
24554800.25,24780827.7,60,87
24941786.64166667,25113019.558333334,62,100
25243156.575,25452060.73333333,63,85
25544526.508333333,25825348.491666667,62,89
25910964.95,26130143.083333336,60,93
26215759.541666664,27811650.325,59,85
28619869.691666666,28770554.658333335,62,102
28818499.875,29020554.716666665,67,89
29085623.225,29321924.65,74,85
29613020.608333334,30157541.283333335,74,100
30273979.666666668,30517130.408333335,72,107
30613020.841666665,31859596.475,72,93
31897267.716666665,32154117.091666665,63,78
32160966.408333335,32452062.366666667,64,80
32404117.15,32626719.941666666,72,98
32773980.25,35239734.25,71,100
35202063.00833333,35517131.574999996,62,100
35417816.483333334,35609597.35,67,87
35681515.175000004,35893843.99166667,71,89
36219186.53333334,36373296.15833334,71,98
36575351.0,36719186.65,69,105
36890419.56666666,38092474.641666666,69,102
38099323.95833333,38599324.074999996,58,87
38643844.63333333,39013707.733333334,59,82
39010283.074999996,39263707.79166667,69,105
39325351.641666666,42561653.766666666,68,91
42770557.925000004,44222613.05833334,68,100
44253434.983333334,45291106.45833333,73,102
45513709.25,45873298.375,68,102
46044531.29166667,46506860.16666667,67,100
46695216.375,46835627.36666667,67,100
46965764.38333333,47113024.69166666,67,89
47246586.36666667,47386997.358333334,67,91
47575353.56666666,47722613.875,67,91
47969189.275,48547956.53333334,72,102
48784257.95833333,49099326.525,67,102
49335627.949999996,50832203.641666666,65,98
50839052.95833333,52017135.425000004,75,105
52085628.59166666,52417820.449999996,73,105
52613025.975,53085628.825,63,105
53226039.81666667,53363026.15,63,82
53482889.19166667,53630149.5,63,80
53756861.858333334,53893848.19166667,63,80
53996587.94166667,54154122.225,63,66
54263711.291666664,55297958.108333334,67,87
55366451.275,55773985.61666667,65,105
55910971.95,56256862.44166667,61,98
56325355.608333334,56773985.85,65,87
56702068.025,57109602.36666667,68,95
57140424.291666664,57472616.15,73,100
57547958.63333333,58376725.95,77,87
58386999.925,59003438.425,67,105
59047958.983333334,62428096.75833333,68,102
118387013.925,120075370.48333333,68,102
120047973.21666667,121157562.51666667,73,82
121143863.88333334,121561672.2,68,105
121657562.63333334,122171261.38333334,67,100
122318521.69166666,122472631.31666666,67,100
122592494.35833333,122756877.95833333,67,89
122876741.0,123037699.94166666,67,85
123202083.54166667,123369891.8,67,98
123613042.54166667,124325371.475,72,100
124431535.88333334,124780851.03333333,67,107
124934960.65833333,125431536.11666666,65,100
125613043.00833334,125780851.26666667,65,105
125907563.625,126065097.90833333,65,80
126202084.24166666,126363043.18333334,65,87
126503454.175,126674687.09166667,65,98
126893865.225,127592495.525,71,98
127708933.90833333,128236331.29166667,65,102
128246605.26666667,130965783.98333333,64,100
131520578.63333334,132948661.15833333,63,95
133044551.59166667,134256880.64166665,68,89
134280853.25,134681538.275,63,95
134797976.65833333,134993182.18333334,62,102
135219209.63333336,135397291.86666664,62,82
135650716.5833333,135828798.81666666,62,95
135979483.78333333,136106196.14166665,62,82
136342497.56666666,136476059.24166664,62,100
136750031.90833333,137397292.3333333,67,95
137595922.51666665,137640443.07500002,61,93
137637018.4166667,138058251.39166665,62,105
138130169.21666667,138544552.875,60,102
138770580.32500002,138917840.63333336,60,89
139034279.01666665,139184963.98333335,60,82
139311676.34166667,139465785.96666667,60,80
139623320.25,139849347.70000002,60,87
140010306.64166665,140181539.55833334,62,100
140311676.57500002,140520580.73333335,63,85
140613046.50833336,140893868.49166664,62,89
140979484.95000002,141198663.0833333,60,93
141284279.5416667,142880170.32500002,59,85
143688389.69166666,143839074.65833333,62,102
143887019.875,144089074.71666667,67,89
144154143.225,144390444.65,74,85
144681540.60833335,145226061.28333333,74,100
145342499.6666667,145585650.40833333,72,107
145681540.84166667,146928116.475,72,93
146965787.71666667,147222637.09166667,63,78
147229486.40833333,147520582.36666664,64,80
147472637.15,147695239.94166666,72,98
147842500.25,150308254.25,71,100
150270583.00833336,150585651.57500002,62,100
150486336.48333335,150678117.35,67,87
150750035.17499998,150962363.99166664,71,89
151287706.53333333,151441816.15833333,71,98
151643871.0,151787706.65,69,105
151958939.56666666,153160994.64166665,69,102
153167843.9583333,153667844.07500002,58,87
153712364.63333336,154082227.73333335,59,82
154078803.07500002,154332227.7916667,69,105
154393871.64166665,157630173.76666665,68,91
157839077.92499998,159291133.05833334,68,100
159321954.98333335,160359626.4583333,73,102
160582229.25,160941818.375,68,102
161113051.2916667,161575380.1666667,67,100
161763736.375,161904147.36666664,67,100
162034284.38333336,162181544.69166666,67,89
162315106.36666664,162455517.35833335,67,91
162643873.56666666,162791133.875,67,91
163037709.275,163616476.53333333,72,102
163852777.9583333,164167846.525,67,102
164404147.95000002,165900723.64166665,65,98
165907572.9583333,167085655.42499998,75,105
167154148.59166667,167486340.45000002,73,105
167681545.975,168154148.82500002,63,105
168294559.81666666,168431546.15,63,82
168551409.19166666,168698669.5,63,80
168825381.85833335,168962368.19166666,63,80
169065107.94166666,169222642.225,63,66
169332231.2916667,170366478.10833335,67,87
170434971.275,170842505.61666664,65,105
