Beat,Position,Pitch,Type
776.0,120,65,0
776.5,121,64,0
777.0,122,65,0
777.5,123,60,0
778.0,124,0,1
779.0,124,69,0
779.5,125,68,0
780.0,126,69,0
780.5,127,60,0
781.0,128,0,1
781.5,128,64,0
782.5,129,67,0
783.0,130,65,0
783.5,131,60,0
784.0,132,67,0
784.5,133,65,0
785.0,134,69,0
785.5,135,70,0
786.0,136,69,0
786.5,137,65,0
787.0,138,67,0
787.5,139,63,0
788.0,140,0,1
788.5,140,74,0
790.0,141,0,1
790.5,141,73,0
791.5,142,65,0
792.0,143,71,0
793.5,144,77,0
794.0,145,0,1
794.5,145,71,0
795.0,146,70,0
796.0,147,0,1
797.5,147,68,0
798.5,148,65,0
799.0,149,67,0
799.5,150,65,0
800.0,151,72,0
801.0,152,0,1
801.5,152,69,0
802.0,153,70,0
803.0,154,0,1
803.5,154,69,0
804.0,155,72,0
805.0,156,72,0
806.0,157,0,1
806.5,157,69,0
807.0,158,70,0
807.5,159,72,0
808.0,160,69,0
808.5,161,67,0
809.0,162,65,0
809.5,163,64,0
810.0,164,65,0
811.0,165,0,1
811.5,165,72,0
812.0,166,70,0
813.0,167,0,1
813.5,167,77,0
814.5,168,72,0
815.0,169,75,0
815.5,170,77,0
816.0,171,0,1
817.5,171,72,0
818.0,172,72,0
819.0,173,0,1
819.5,173,69,0
820.0,174,70,0
820.5,175,69,0
821.0,176,65,0
821.5,177,62,0
822.0,178,69,0
822.5,179,69,0
824.0,180,65,0
824.5,181,64,0
825.0,182,65,0
825.5,183,60,0
826.0,184,0,1
827.0,184,69,0
827.5,185,68,0
828.0,186,69,0
828.5,187,60,0
829.0,188,0,1
829.5,188,64,0
830.5,189,67,0
831.0,190,65,0
831.5,191,60,0
832.0,192,67,0
832.5,193,65,0
833.0,194,69,0
833.5,195,70,0
834.0,196,69,0
834.5,197,65,0
835.0,198,67,0
835.5,199,63,0
836.0,200,0,1
836.5,200,74,0
838.0,201,0,1
838.5,201,73,0
839.5,202,65,0
840.0,203,71,0
841.5,204,77,0
842.0,205,0,1
842.5,205,71,0
843.0,206,70,0
844.0,207,0,1
845.5,207,68,0
846.5,208,65,0
847.0,209,67,0
847.5,210,65,0
848.0,211,72,0
849.0,212,0,1
849.5,212,69,0
850.0,213,70,0
851.0,214,0,1
851.5,214,69,0
852.0,215,72,0
853.0,216,72,0
854.0,217,0,1
854.5,217,69,0
855.0,218,70,0
855.5,219,72,0
856.0,220,69,0
856.5,221,67,0
857.0,222,65,0
857.5,223,64,0
858.0,224,65,0
859.0,225,0,1
859.5,225,72,0
860.0,226,70,0
861.0,227,0,1
861.5,227,77,0
862.0,228,0,1
862.5,228,72,0
863.0,229,75,0
863.5,230,77,0
864.0,231,0,1
865.5,231,72,0
866.0,232,72,0
867.0,233,0,1
867.5,233,69,0
868.0,234,70,0
868.5,235,69,0
869.0,236,65,0
869.5,237,62,0
870.0,238,69,0
870.5,239,69,0
872.0,239,0,4
