On,Off,Pitch,Velocity
16666650.0,17038673.4375,64,122
17187482.8125,18487084.6875,72,122
18601171.875,18824385.9375,71,127
18829346.25,18983115.9375,69,111
19112084.0625,20431527.1875,69,102
20520812.8125,20758907.8125,68,122
20768828.4375,20987082.1875,71,106
21026764.6875,24062475.9375,64,87
24290650.3125,24727157.8125,64,122
24771800.625,26096204.0625,72,127
26180529.375,26428545.0,71,127
26433505.3125,26597195.625,69,111
26701362.1875,27991043.4375,69,102
28124971.875,28358106.5625,67,127
28363066.875,28591241.25,71,116
28621003.125,31512865.312499996,64,98
31750960.312499996,32093221.874999996,64,127
32098182.1875,32246991.5625,65,127
32242031.249999996,32415642.187500004,67,122
32410681.875,33075363.749999996,69,111
33100165.312500004,33253934.999999996,62,102
33372982.499999996,35347186.875,62,116
35520797.8125,35748972.1875,62,127
35748972.1875,35967225.9375,64,111
35967225.9375,36180519.375,65,122
36205320.9375,36889844.0625,67,106
36909685.3125,37038653.4375,60,95
37177542.1875,39092222.8125,60,122
39325357.5,39593214.375,60,111
39697380.9375,39846190.3125,62,127
39846190.3125,40019801.25,64,122
40034682.1875,40684483.125,65,111
40719205.3125,40843213.125,59,98
40982101.875,42976147.5,59,122
43129917.1875,43382893.125,59,122
43377932.8125,43601146.875,60,127
43596186.5625,43829321.25,62,122
43839241.875,46810469.0625,64,98
47167611.5625,47509873.125,64,127
47623960.3125,48978125.625,72,127
49077331.875,49315426.875,71,127
49325347.5,49464236.25,69,116
49593204.375,50872965.0,69,111
50947369.6875,51195385.3125,68,116
51200345.625,51488043.75,71,111
51527726.25,54568397.8125,64,91
54781691.25,55163635.3125,64,122
55262841.5625,56612046.5625,70,116
56696371.875,56934466.875,69,122
56934466.875,57098157.1875,67,106
57212244.375,58462243.125,67,102
58591211.25,58859068.125,65,127
58868988.75,59102123.4375,64,122
59131885.3125,62390810.62500001,69,102
62867000.62500001,63963229.68749999,62,127
64107078.75,64340213.43750001,62,116
64350134.06249999,64568387.8125,64,122
64558467.18749999,64836244.6875,65,127
64831284.37500001,66820369.68749999,71,106
67187432.8125,67341202.5,60,111
67435448.4375,67579297.5,60,111
67713225.9375,68214217.5,60,111
68348145.9375,68477114.0625,62,122
68521756.875,68616002.8125,64,122
68749931.25,70203302.8125,69,116
70272747.1875,70520762.8125,68,111
70570365.9375,73407664.6875,64,91
73635839.0625,73908656.25,64,122
74007862.5,74126910.0,68,102
74171552.8125,74305481.25,71,116
74399727.1875,77435438.4375,69,106
138576250.3125,138938353.125,64,127
