Beat,Position,Pitch,Type
0.0,0,0,1
3.0,0,55,0
4.0,1,67,0
5.5,2,65,0
6.0,3,63,0
6.5,4,62,0
7.5,5,60,0
11.0,6,58,0
12.0,7,56,0
14.0,8,67,0
15.5,9,65,0
20.0,10,65,0
21.5,11,63,0
22.0,12,62,0
22.5,13,60,0
23.5,14,58,0
27.0,15,56,0
28.0,16,55,0
30.0,17,65,0
31.5,18,63,0
36.0,19,63,0
37.5,20,61,0
38.0,21,60,0
38.5,22,58,0
39.5,23,56,0
43.0,24,54,0
44.0,25,54,0
45.0,26,53,0
45.5,27,58,0
46.5,28,56,0
47.5,29,56,0
51.5,30,56,0
52.0,31,56,0
53.0,32,55,0
53.5,33,58,0
55.5,34,56,0
56.0,35,56,0
57.0,36,55,0
57.5,37,58,0
59.0,38,56,0
59.5,39,55,0
67.0,40,55,0
68.0,41,67,0
69.5,42,65,0
70.0,43,63,0
70.5,44,62,0
71.5,45,60,0
75.0,46,58,0
76.0,47,56,0
78.0,48,67,0
79.5,49,65,0
84.0,50,65,0
85.5,51,63,0
86.0,52,62,0
86.5,53,60,0
87.5,54,58,0
91.0,55,56,0
92.0,56,55,0
94.0,57,65,0
95.5,58,63,0
100.0,59,63,0
101.5,60,61,0
102.0,61,60,0
102.5,62,58,0
103.5,63,56,0
107.0,64,54,0
108.0,65,54,0
109.0,66,53,0
109.5,67,58,0
110.5,68,56,0
111.5,69,56,0
115.5,70,56,0
116.0,71,56,0
117.0,72,55,0
117.5,73,58,0
119.5,74,56,0
120.0,75,56,0
121.0,76,55,0
121.5,77,58,0
123.0,78,56,0
123.5,79,55,0
131.0,79,0,1
132.0,79,0,4
