Beat,Position,Pitch,Type
0.0,0,62,0
0.5,1,63,0
1.0,2,64,0
1.5,3,65,0
4.0,4,67,0
4.5,5,68,0
5.0,6,69,0
5.5,7,70,0
8.0,8,65,0
8.5,9,67,0
9.0,10,65,0
9.5,11,64,0
10.0,12,63,0
10.5,13,53,0
11.0,14,61,0
11.5,15,62,0
12.5,16,61,0
13.0,17,60,0
16.0,18,67,0
16.5,19,68,0
17.0,20,69,0
17.5,21,70,0
20.0,22,70,0
20.5,23,71,0
21.0,24,72,0
21.5,25,73,0
24.0,26,65,0
24.5,27,67,0
25.0,28,65,0
25.5,29,64,0
26.0,30,63,0
26.5,31,53,0
27.0,32,61,0
27.5,33,62,0
31.0,34,65,0
31.333333333333332,35,65,0
31.666666666666668,36,65,0
32.0,37,64,2
32.0,38,65,0
32.5,39,52,2
32.5,40,53,0
36.0,41,65,0
36.5,42,67,0
37.0,43,65,0
37.5,44,64,0
38.0,45,63,0
38.5,46,53,0
39.0,47,61,0
39.5,48,62,0
41.0,49,65,0
41.5,50,67,0
42.0,51,65,0
42.5,52,64,0
43.0,53,63,0
43.5,54,53,0
44.0,55,61,0
44.5,56,62,0
48.0,57,62,0
48.5,58,63,0
49.0,59,64,0
49.5,60,65,0
52.0,61,67,0
52.5,62,68,0
53.0,63,69,0
53.5,64,70,0
56.0,65,65,0
56.5,66,67,0
57.0,67,65,0
57.5,68,64,0
58.0,69,63,0
58.5,70,53,0
59.0,71,61,0
59.5,72,62,0
60.5,73,61,0
61.0,74,60,0
64.0,75,67,0
64.5,76,68,0
65.0,77,69,0
65.5,78,70,0
68.0,79,70,0
68.5,80,71,0
69.0,81,72,0
69.5,82,73,0
72.0,83,65,0
72.5,84,67,0
73.0,85,65,0
73.5,86,64,0
74.0,87,63,0
74.5,88,53,0
75.0,89,61,0
75.5,90,62,0
79.0,91,64,2
79.0,92,65,0
79.33333333333333,93,65,0
79.66666666666667,94,65,0
80.0,95,65,0
80.5,96,53,0
84.0,97,65,0
84.5,98,67,0
85.0,99,65,0
85.5,100,64,0
86.0,101,63,0
86.5,102,53,0
87.0,103,61,0
87.5,104,62,0
89.0,105,65,0
89.5,106,67,0
90.0,107,65,0
90.5,108,64,0
91.0,109,63,0
91.5,110,53,0
92.0,111,61,0
92.5,112,62,0
96.0,113,0,4
