On,Off,Pitch,Velocity
32000.0,348000.0,62,84
348000.0,504000.0,63,77
504000.0,820000.0,64,65
836000.0,1632000.0,65,79
1940000.0000000002,2095999.9999999998,67,86
2240000.0,2396000.0,68,84
2420000.0,2736000.0,69,60
2728000.0,3524000.0,70,79
3880000.0000000005,4039999.9999999995,65,81
4168000.0,4372000.0,67,60
4364000.0,4524000.0,65,77
4644000.0,4772000.0,64,65
4868000.0,5100000.0,63,69
5152000.0,5312000.0,53,64
5336000.0,5580000.0,61,92
5656000.0,5916000.0,62,77
5984000.0,6176000.0,61,90
6260000.0,7288000.0,60,65
7723999.999999999,7920000.0,67,90
8036000.0,8176000.000000001,68,92
8248000.0,8436000.0,69,42
8536000.0,9424000.0,70,92
9640000.0,9796000.0,70,103
9932000.0,10056000.0,71,79
10144000.0,10340000.0,72,73
10452000.0,11296000.0,73,92
11552000.0,11700000.0,65,72
11852000.0,12064000.0,67,70
12044000.0,12188000.0,65,63
12336000.0,12436000.0,64,79
12528000.0,12732000.0,63,89
12816000.0,12920000.0,53,77
12996000.0,13224000.0,61,95
13316000.0,14500000.0,62,78
14908000.0,14984000.0,65,93
15068000.0,15140000.0,65,77
15220000.0,15300000.0,65,72
15376000.0,15447999.999999998,64,92
15396000.000000002,15604000.0,65,87
15683999.999999998,15756000.000000002,52,82
15704000.0,16996000.0,53,77
17324000.0,17444000.0,65,90
17592000.0,17724000.0,67,64
17792000.0,17912000.0,65,73
18072000.0,18160000.0,64,76
18260000.0,18464000.0,63,86
18556000.0,18644000.0,53,80
18752000.0,18932000.0,61,88
19052000.0,19540000.0,62,83
19708000.0,19872000.0,65,82
20008000.0,20132000.0,67,55
20200000.0,20444000.0,65,76
20480000.0,20604000.0,64,66
20668000.0,20892000.0,63,87
20952000.0,21040000.0,53,68
21156000.0,21344000.0,61,97
21508000.0,22772000.0,62,78
23064000.0,23240000.0,62,86
23368000.0,23496000.0,63,97
23568000.0,23744000.0,64,67
23888000.0,24732000.0,65,87
25004000.0,25148000.0,67,86
25292000.0,25420000.0,68,92
25504000.0,25684000.0,69,63
25816000.0,26676000.0,70,87
26924000.0,27064000.0,65,81
27212000.0,27396000.0,67,67
27408000.0,27560000.0,65,73
27692000.0,27792000.0,64,82
27884000.0,28104000.0,63,87
28196000.0,28296000.0,53,71
28384000.0,28592000.0,61,91
28696000.0,28904000.0,62,81
29036000.0,29220000.0,61,83
29316000.0,30328000.0,60,72
30756000.0,30895999.999999996,67,90
31040000.000000004,31176000.0,68,89
31260000.0,31452000.000000004,69,50
31572000.000000004,32472000.000000004,70,92
32679999.999999996,32824000.000000004,70,102
32972000.0,33092000.0,71,60
33156000.0,33339999.999999996,72,79
33459999.999999996,34320000.0,73,95
34616000.0,34748000.0,65,85
34900000.0,35100000.0,67,75
35100000.0,35252000.0,65,75
35360000.0,35464000.0,64,81
35560000.0,35792000.0,63,86
35872000.0,35952000.0,53,56
36048000.0,36252000.0,61,92
36368000.0,37516000.0,62,74
37916000.0,38000000.0,64,87
37920000.0,38032000.0,65,90
38096000.0,38172000.0,65,76
38264000.0,38348000.0,65,92
38436000.0,38652000.0,65,92
38764000.0,40048000.0,53,73
40348000.0,40464000.0,65,90
40620000.0,40732000.0,67,81
40836000.0,40996000.0,65,71
41096000.0,41212000.0,64,66
41308000.0,41504000.0,63,90
41620000.0,41732000.0,53,66
41788000.0,41984000.0,61,94
42108000.0,42584000.0,62,82
42772000.0,42900000.0,65,91
43044000.0,43160000.0,67,68
43256000.0,43444000.0,65,77
43528000.0,43656000.0,64,77
43732000.0,43932000.0,63,89
44004000.0,44132000.0,53,74
44228000.0,44392000.0,61,92
44552000.0,45988000.0,62,81
92220000.0,92480000.0,62,84
92536000.0,92672000.0,63,77
92688000.0,92928000.0,64,65
93028000.0,93844000.0,65,79
94116000.0,94268000.0,67,86
94400000.0,94520000.0,68,84
94600000.0,94844000.0,69,60
94896000.0,95744000.0,70,79
96040000.0,96200000.0,65,81
96328000.0,96532000.0,67,60
96524000.0,96684000.0,65,77
96804000.0,96932000.0,64,65
97028000.0,97260000.0,63,69
97312000.0,97472000.0,53,64
97496000.0,97740000.0,61,92
97816000.0,98076000.0,62,77
98144000.0,98336000.0,61,90
98420000.0,99448000.0,60,65
99884000.0,100080000.0,67,90
100196000.0,100336000.0,68,92
100408000.0,100596000.0,69,42
100696000.0,101584000.0,70,92
101800000.0,101956000.0,70,103
102092000.0,102216000.0,71,79
102304000.0,102500000.0,72,73
102612000.0,103456000.0,73,92
103712000.0,103860000.0,65,72
104012000.0,104224000.0,67,70
104204000.0,104348000.0,65,63
104496000.0,104596000.0,64,79
104688000.0,104892000.0,63,89
104976000.0,105080000.0,53,77
105156000.0,105384000.0,61,95
105476000.0,106660000.0,62,78
107068000.0,107144000.0,65,93
107228000.0,107300000.0,65,77
107380000.0,107460000.0,65,72
107536000.0,107608000.0,64,92
107556000.0,107764000.0,65,87
107844000.0,107916000.0,52,82
107864000.0,109156000.0,53,77
109484000.0,109604000.0,65,90
109752000.0,109884000.0,67,64
109952000.0,110072000.0,65,73
110232000.0,110320000.0,64,76
110420000.0,110624000.0,63,86
110716000.0,110804000.0,53,80
110912000.0,111092000.0,61,88
111212000.0,111700000.0,62,83
111868000.0,112032000.0,65,82
112168000.0,112292000.0,67,55
112360000.0,112604000.0,65,76
112640000.0,112764000.0,64,66
112828000.0,113052000.0,63,87
113112000.0,113200000.0,53,68
113316000.0,113504000.0,61,97
113668000.0,114932000.0,62,78
115224000.0,115400000.0,62,86
115528000.0,115656000.0,63,97
115728000.0,115904000.0,64,67
116048000.0,116892000.0,65,87
117164000.0,117308000.0,67,86
117452000.0,117580000.0,68,92
117664000.0,117844000.0,69,63
117976000.0,118836000.0,70,87
119084000.0,119224000.0,65,81
119372000.0,119556000.0,67,67
119568000.0,119720000.0,65,73
119852000.0,119952000.0,64,82
120044000.0,120264000.0,63,87
120356000.0,120456000.0,53,71
120544000.0,120752000.0,61,91
120856000.0,121064000.0,62,81
121196000.0,121380000.0,61,83
121476000.0,122488000.0,60,72
122916000.0,123056000.0,67,90
123200000.00000001,123336000.0,68,89
123420000.0,123611999.99999999,69,50
123731999.99999999,124631999.99999999,70,92
124839999.99999999,124984000.0,70,102
125132000.0,125252000.0,71,60
125316000.0,125499999.99999999,72,79
125619999.99999999,126480000.0,73,95
126776000.0,126908000.0,65,85
127059999.99999999,127260000.0,67,75
127260000.0,127412000.0,65,75
127520000.00000001,127624000.0,64,81
127719999.99999999,127952000.0,63,86
128032000.0,128111999.99999999,53,56
128208000.00000001,128411999.99999999,61,92
128528000.0,129676000.00000001,62,74
130076000.0,130160000.00000001,64,87
130080000.0,130192000.0,65,90
130256000.0,130331999.99999999,65,76
130423999.99999999,130508000.0,65,92
130596000.0,130811999.99999999,65,92
130924000.0,132208000.0,53,73
132508000.0,132624000.0,65,90
132780000.0,132892000.0,67,81
132996000.0,133156000.00000001,65,71
133256000.0,133372000.0,64,66
133468000.0,133663999.99999999,63,90
133779999.99999999,133892000.0,53,66
133948000.0,134143999.99999999,61,94
134268000.0,134744000.0,62,82
134932000.0,135060000.0,65,91
135204000.0,135320000.0,67,68
135416000.0,135604000.0,65,77
135688000.0,135816000.0,64,77
135892000.0,136092000.0,63,89
136164000.0,136292000.0,53,74
136388000.0,136552000.0,61,92
136712000.0,138148000.0,62,81
139040000.0,139120000.0,53,58
139224000.0,139376000.0,57,53
139232000.0,139404000.0,61,60
139552000.0,142084000.0,62,64
139568000.0,142084000.0,56,66
