Beat,Position,Pitch,Type
0.0,0,65,3
1.0,1,65,3
2.0,2,65,3
4.0,3,65,0
5.0,4,65,3
5.0,5,60,0
5.5,6,57,0
6.0,7,64,0
7.0,8,60,0
7.5,9,57,0
8.0,10,65,3
8.0,11,62,0
8.5,12,64,0
9.0,13,59,0
9.5,14,60,0
10.0,15,61,0
10.5,16,58,0
11.0,17,65,3
11.0,18,55,0
11.5,19,56,0
12.0,20,65,3
12.0,21,57,0
13.0,22,65,3
13.0,23,53,0
13.5,24,50,0
14.0,25,65,3
14.0,26,55,0
14.5,27,57,0
15.0,28,53,0
15.5,29,52,0
16.0,30,51,0
16.333333333333332,31,55,0
16.666666666666668,32,58,0
17.0,33,62,0
17.5,34,61,0
18.0,35,0,1
18.5,35,53,0
19.0,36,53,0
19.333333333333332,37,55,0
19.666666666666668,38,53,0
20.0,39,60,0
21.0,40,58,0
21.5,41,53,0
22.0,42,56,0
22.5,43,46,0
23.5,44,55,0
24.0,45,63,0
24.5,46,61,0
25.0,47,56,0
25.5,48,53,0
26.0,49,60,0
26.5,50,53,0
27.0,51,55,0
27.5,52,57,0
29.0,53,52,0
29.5,54,48,0
30.0,55,50,0
31.0,56,0,1
31.5,56,61,0
33.0,57,59,0
33.5,58,54,0
34.0,59,58,0
35.0,60,0,1
35.5,60,56,0
36.0,61,55,0
36.666666666666664,62,65,0
37.333333333333336,63,65,0
38.0,64,65,0
38.5,65,62,0
39.0,66,58,0
39.5,67,55,0
40.0,68,57,0
40.5,69,55,0
41.0,70,60,0
41.5,71,58,0
42.0,72,64,0
43.0,73,0,1
43.5,73,60,0
45.0,74,57,0
45.5,75,53,0
46.0,76,55,0
47.0,77,0,1
47.5,77,62,0
49.0,78,58,0
49.5,79,53,0
50.0,80,57,0
51.0,81,0,1
52.0,81,65,0
53.0,82,60,0
53.5,83,57,0
54.0,84,64,0
55.0,85,60,0
55.5,86,57,0
56.0,87,62,0
56.5,88,64,0
57.0,89,59,0
57.5,90,60,0
58.0,91,61,0
58.5,92,58,0
59.0,93,55,0
59.5,94,56,0
60.0,95,57,0
61.0,96,53,0
61.5,97,50,0
62.0,98,55,0
62.5,99,57,0
63.0,100,53,0
63.5,101,52,0
64.0,102,51,0
64.33333333333333,103,55,0
64.66666666666667,104,58,0
65.0,105,62,0
65.5,106,61,0
66.0,107,0,1
66.5,107,53,0
67.0,108,53,0
67.33333333333333,109,55,0
67.66666666666667,110,53,0
68.0,111,60,0
69.0,112,58,0
69.5,113,53,0
70.0,114,56,0
70.5,115,46,0
71.0,116,0,1
71.5,116,55,0
72.0,117,63,0
72.5,118,61,0
73.0,119,56,0
73.5,120,53,0
74.0,121,60,0
74.5,122,53,0
75.0,123,55,0
75.5,124,57,0
77.0,125,52,0
77.5,126,48,0
78.0,127,50,0
79.0,128,0,1
79.5,128,61,0
81.0,129,59,0
81.5,130,54,0
82.0,131,58,0
83.0,132,0,1
83.5,132,56,0
84.0,133,55,0
84.66666666666667,134,65,0
85.33333333333333,135,65,0
86.0,136,65,0
86.5,137,62,0
87.0,138,58,0
87.5,139,55,0
88.0,140,57,0
88.5,141,55,0
89.0,142,60,0
89.5,143,58,0
90.0,144,64,0
91.0,145,0,1
91.5,145,60,0
93.0,146,57,0
93.5,147,53,0
94.0,148,55,0
95.5,149,62,0
97.0,150,58,0
97.5,151,53,0
98.0,152,57,0
100.0,153,0,4
