On,Off,Pitch,Velocity
0.0,326087.0,65,3
326087.0,652174.0,65,20
652174.0,978261.0,65,18
1350543.6583333332,1611413.2583333333,65,90
1630435.0,1956522.0,65,12
1676630.6583333332,1850543.7249999999,60,90
1866848.075,1978261.1333333333,57,90
2002717.6583333332,2263587.2583333333,64,90
2328804.658333333,2502717.725,60,90
2519022.0749999997,2630435.1333333333,57,90
2608696.0,2934783.0,65,12
2654891.6583333337,2828804.725,62,90
2845109.0749999997,2956522.1333333333,64,90
2980978.6583333337,3154891.725,59,90
3171196.0749999997,3282609.1333333333,60,90
3307065.6583333337,3480978.725,61,90
3497283.0749999997,3608696.1333333333,58,90
3586957.0,3913044.0,65,12
3633152.6583333337,3807065.725,55,90
3823370.0749999997,3934783.1333333333,56,90
3913044.0,4239131.0,65,33
3959239.6583333337,4220109.258333333,57,90
4239131.0,4565218.0,65,50
4285326.658333333,4459239.725000001,53,90
4475544.075,4586957.133333333,50,90
4565218.0,4891305.0,65,15
4611413.658333333,4785326.725000001,55,90
4801631.075,4913044.133333333,57,90
4937500.658333333,5111413.725000001,53,90
5127718.075,5239131.133333333,52,90
5263587.658333333,5350544.191666667,51,90
5372283.325,5459239.858333333,55,90
5480978.991666667,5608696.399999999,58,90
5589674.658333333,5763587.725000001,62,90
5779892.075,5899457.308333333,61,90
6105979.075,6217392.133333333,53,90
6241848.658333333,6328805.191666667,53,90
6350544.325,6437500.858333333,55,90
6459239.991666667,6586957.399999999,53,90
6567935.658333333,6828805.258333333,60,90
6894022.658333333,7067935.725000001,58,90
7084240.075,7195653.133333333,53,90
7220109.658333333,7394022.725000001,56,90
7410327.075,7529892.308333333,46,90
7736414.075,7847827.133333333,55,90
7872283.658333333,8046196.725000001,63,90
8062501.075,8173914.133333333,61,90
8198370.658333333,8372283.725000001,56,90
8388588.075,8500001.133333333,53,90
8524457.658333333,8698370.725,60,90
8714675.075000001,8826088.133333333,53,90
8850544.658333333,9024457.725,55,90
9040762.075000001,9413044.733333334,57,90
9502718.658333333,9676631.725,52,90
9692936.075000001,9804349.133333333,48,90
9828805.658333333,10141305.700000001,50,90
10345110.075000001,10717392.733333334,61,90
10807066.658333333,10980979.725,59,90
10997284.075000001,11108697.133333335,54,90
11133153.658333333,11445653.700000001,58,90
11649458.075000001,11760871.133333335,56,90
11785327.658333333,11959240.725,55,90
11975545.075000001,12190219.016666666,65,90
12220110.325000001,12394023.391666666,65,90
12437501.658333333,12611414.725,65,90
12627719.075000001,12739132.133333335,62,90
12763588.658333333,12937501.725,58,90
12953806.075000001,13065219.133333335,55,90
13089675.658333333,13263588.725,57,90
13279893.075000001,13391306.133333335,55,90
13415762.658333333,13589675.725,60,90
13605980.075000001,13717393.133333335,58,90
13741849.658333333,14054349.700000001,64,90
14258154.075000001,14630436.733333334,60,90
14720110.658333333,14894023.725,57,90
14910328.075000001,15021741.133333335,53,90
15046197.658333333,15358697.700000001,55,90
15562502.075000001,15934784.733333334,62,90
16024458.658333333,16198371.725,58,90
16214676.075000001,16326089.133333335,53,90
16350545.658333333,16611415.258333335,57,90
17002719.65833333,17263589.258333333,65,63
17328806.65833333,17502719.724999998,60,63
17519024.075,17630437.133333333,57,63
17654893.65833333,17915763.258333333,64,63
17980980.65833333,18154893.724999998,60,63
18171198.075,18282611.133333333,57,63
18307067.65833333,18480980.724999998,62,63
18497285.075,18608698.133333333,64,63
18633154.65833333,18807067.724999998,59,63
18823372.075,18934785.133333333,60,63
18959241.65833333,19133154.724999998,61,63
19149459.075,19260872.133333333,58,63
19285328.65833333,19459241.724999998,55,63
