On,Off,Pitch,Velocity
1627551.2916666665,1823979.8958333335,62,127
1946428.8958333335,3950255.7604166665,71,127
4164541.5104166665,4260204.791666666,74,120
4413266.041666666,4545919.125,74,125
4664541.59375,4762755.895833334,71,127
4918368.166666666,5044643.697916666,71,127
5177296.78125,5286990.677083334,69,93
5432398.864583334,5554847.864583334,69,125
5654337.677083334,5758929.53125,67,122
5803572.395833334,7775511.5,69,127
8093113.59375,8193878.916666667,74,127
8330358.53125,8456634.0625,74,127
8579083.0625,8678572.875,71,126
8830358.614583332,8964287.208333332,71,127
9071430.083333332,9188777.041666668,69,120
9321430.125,9442603.614583332,69,126
9548470.979166668,9650511.8125,67,127
9707909.78125,11630103.979166668,69,127
12005104.041666668,12103318.34375,74,127
12244900.0,12371175.53125,74,127
12480869.427083332,12581634.75,71,127
12744900.083333332,12858420.510416668,71,127
12997451.145833332,13096940.958333332,69,104
13246175.677083332,13358420.59375,69,126
13477043.0625,13581634.916666668,67,125
13734696.166666668,14915818.8125,71,127
15198982.125,15497451.5625,66,127
15558676.0625,17048472.229166664,64,127
17160717.145833336,17469390.666666664,66,127
17653064.166666664,17923472.375,71,127
18167094.864583336,18474492.875,71,127
18644135.760416664,18943880.708333336,70,127
19112248.083333336,19419646.09375,69,127
19607146.125,21558677.0625,74,127
21803575.0625,21903064.875,74,127
22044646.53125,22163269.0,74,127
22289544.53125,22399238.427083336,73,127
22548473.145833336,22678575.208333336,72,127
22772962.979166664,22885207.895833336,71,122
23028065.0625,23168371.208333336,70,127
23272963.0625,23378830.427083336,71,110
23428575.333333336,25494902.208333336,74,127
25728320.614583336,25827810.427083336,74,127
25977045.145833336,26112249.25,74,121
26130106.395833336,26221943.145833336,73,126
26360973.78125,26460463.59375,72,127
26596943.208333336,26721943.229166664,71,115
26841841.208333336,26940055.510416664,70,127
27085463.697916664,27309953.53125,71,127
27436229.0625,29357147.75,74,127
29627555.958333336,29725770.260416664,74,127
29875004.979166664,30021688.677083336,74,127
30035719.291666664,30142862.166666664,73,116
30270413.208333336,30375005.0625,72,127
30517862.229166664,30760209.208333336,71,127
30895413.3125,31003831.697916664,70,127
31112250.083333336,31224495.0,71,127
31375005.229166668,34862250.70833333,72,127
35301026.29166667,37266587.84375,72,127
37397965.41666667,37503832.78125,72,127
37646689.94791667,37793373.64583333,72,127
37891587.94791667,38011485.92708333,71,127
38113526.76041667,38256383.92708333,71,122
38367353.33333333,38623730.92708333,69,124
38707914.61458333,38830363.61458333,67,124
38933679.95833333,39011486.09375,66,127
39197710.61458333,41193884.41666667,69,127
41397966.08333333,41521690.59375,67,124
41654343.67708333,41772966.14583333,69,115
41889037.59375,41993629.44791667,71,127
42153068.25,42403068.29166667,74,127
42510211.16666667,42711741.8125,71,127
42844394.89583333,42948986.75,67,127
43130109.22916667,44923476.875,67,127
45089293.22916667,45360976.94791667,69,127
45469395.33333333,45593119.84375,69,127
45793374.97916667,45905619.89583333,69,127
46062507.67708333,46623732.26041667,69,127
46650517.97916667,46940058.84375,67,126
47034446.61458333,48246181.51041667,71,127
48503834.61458333,48799753.03125,66,127
48885212.22916667,50413273.70833333,64,127
50459192.08333333,50801028.875,66,127
50858426.84375,52303580.14583333,71,127
52428580.16666667,52674753.67708333,66,127
52797202.67708333,53850774.28125,64,127
54255111.08333333,54295927.41666667,66,104
54375009.0625,54497458.0625,69,122
54493631.53125,54612254.0,67,91
54596947.875,54724498.91666667,66,121
54725774.42708333,54817611.17708333,64,119
54868631.59375,54956641.8125,62,127
55117356.125,55178580.625,63,127
55368631.67708333,55452815.36458333,64,127
55858427.67708333,55966846.0625,62,121
56102050.16666667,56137764.45833333,63,104
56228325.69791667,56316335.91666667,64,125
56459193.08333333,56552305.34375,64,127
56589295.14583333,56654346.17708333,63,127
56854601.3125,56964295.20833333,62,125
57079091.14583333,57146693.19791667,63,127
57341846.29166667,57456642.22916667,64,125
57807407.59375,57918377.0,62,117
58048479.0625,58093121.92708333,63,94
58187509.69791667,58275519.91666667,64,113
58428581.16666667,58545928.125,62,127
58663275.08333333,58775520.0,71,127
88191341.22916666,91678586.70833334,72,127
92117362.29166666,94082923.84375,72,127
94214301.41666666,94320168.78125,72,127
94463025.94791666,94609709.64583334,72,127
94707923.94791666,94827821.92708334,71,127
94929862.76041666,95072719.92708334,71,122
95183689.33333334,95440066.92708334,69,124
95524250.61458334,95646699.61458334,67,124
95750015.95833334,95827822.09375,66,127
96014046.61458334,98010220.41666666,69,127
98214302.08333334,98338026.59375,67,124
98470679.67708334,98589302.14583334,69,115
98705373.59375,98809965.44791666,71,127
98969404.25,99219404.29166666,74,127
99326547.16666666,99528077.8125,71,127
99660730.89583334,99765322.75,67,127
99946445.22916666,101739812.875,67,127
101905629.22916666,102177312.94791666,69,127
102285731.33333334,102409455.84375,69,127
102609710.97916666,102721955.89583334,69,127
102878843.67708334,103440068.26041666,69,127
103466853.97916666,103756394.84375,67,126
103850782.61458334,105062517.51041666,71,127
105320170.61458334,105616089.03125,66,127
105701548.22916666,107229609.70833334,64,127
107275528.08333334,107617364.875,66,127
