Beat,Position,Pitch,Type
0.0,0,0,1
6.5,0,62,0
7.5,1,71,0
17.0,2,74,0
18.0,3,74,0
19.0,4,71,0
20.0,5,71,0
21.0,6,69,0
22.0,7,69,0
23.0,8,67,0
23.5,9,69,0
33.0,10,74,0
34.0,11,74,0
35.0,12,71,0
36.0,13,71,0
37.0,14,69,0
38.0,15,69,0
38.5,16,67,0
39.5,17,69,0
49.0,18,74,0
50.0,19,74,0
50.5,20,71,0
52.0,21,71,0
53.0,22,69,0
54.0,23,69,0
55.0,24,67,0
56.0,25,71,0
62.0,26,66,0
63.5,27,64,0
70.0,28,66,0
72.0,29,71,0
74.0,30,71,0
76.0,31,70,0
78.0,32,69,0
80.0,33,74,0
89.0,34,74,0
90.0,35,74,0
91.0,36,73,0
92.0,37,72,0
92.5,38,71,0
94.0,39,70,0
95.0,40,71,0
95.5,41,74,0
105.0,42,74,0
106.0,43,74,0
106.5,44,73,0
107.5,45,72,0
108.5,46,71,0
109.5,47,70,0
110.5,48,71,0
112.0,49,74,0
120.5,50,74,0
121.5,51,74,0
122.5,52,73,0
123.5,53,72,0
124.5,54,71,0
126.0,55,70,0
127.0,56,71,0
128.0,57,72,0
144.0,58,72,0
152.5,59,72,0
153.5,60,72,0
154.5,61,71,0
155.5,62,71,0
156.5,63,69,0
158.0,64,67,0
158.5,65,66,0
160.0,66,69,0
169.0,67,67,0
170.0,68,69,0
171.0,69,71,0
172.0,70,74,0
173.5,71,71,0
174.5,72,67,0
176.0,73,67,0
184.0,74,69,0
185.5,75,69,0
186.5,76,69,0
188.0,77,69,0
190.0,78,67,0
192.0,79,71,0
198.0,80,66,0
199.5,81,64,0
206.0,82,66,0
207.5,83,71,0
214.0,84,66,0
215.5,85,64,0
221.5,86,66,0
222.0,87,69,0
222.5,88,67,0
223.0,89,66,0
223.5,90,64,0
224.0,91,62,0
225.0,92,63,0
226.0,93,64,0
228.0,94,62,0
229.0,95,63,0
229.5,96,64,0
230.5,97,64,0
231.0,98,63,0
232.0,99,62,0
233.0,100,63,0
234.0,101,64,0
236.0,102,62,0
237.0,103,63,0
237.5,104,64,0
238.5,105,62,0
239.5,106,71,0
240.0,107,0,4
