Beat,Position,Pitch,Type
0.0,0,0,1
0.5,0,65,0
1.0,1,62,0
1.5,2,63,0
2.0,3,66,0
2.5,4,70,0
3.0,5,74,0
3.5,6,77,0
8.0,7,0,1
9.0,7,75,0
9.5,8,73,0
10.0,9,75,0
10.5,10,78,0
11.0,11,75,0
11.5,12,73,0
12.0,13,70,0
12.5,14,66,0
13.0,15,67,0
13.5,16,68,0
16.0,17,0,1
17.0,17,70,0
17.5,18,68,0
18.0,19,70,0
18.5,20,68,0
19.0,21,66,0
19.5,22,63,0
24.0,23,0,1
24.5,23,66,0
25.0,24,63,0
25.5,25,61,0
26.5,26,58,0
27.0,27,61,0
27.5,28,62,0
32.0,29,0,1
32.5,29,65,0
33.0,30,62,0
33.5,31,63,0
34.0,32,66,0
34.5,33,70,0
35.0,34,74,0
35.5,35,77,0
40.0,36,0,1
41.0,36,75,0
41.5,37,73,0
42.0,38,75,0
42.5,39,78,0
43.0,40,75,0
43.5,41,73,0
44.0,42,70,0
44.5,43,66,0
45.0,44,67,0
45.5,45,68,0
48.0,46,0,1
49.0,46,70,0
49.5,47,68,0
50.0,48,70,0
50.5,49,68,0
51.0,50,66,0
51.5,51,63,0
56.0,52,0,1
56.5,52,66,0
57.0,53,63,0
57.5,54,61,0
58.5,55,58,0
59.0,56,61,0
59.5,57,62,0
64.0,58,0,1
66.5,58,62,0
67.0,59,63,0
67.5,60,75,0
70.5,61,75,0
71.0,62,75,0
71.5,63,75,0
72.0,64,0,1
73.5,64,78,0
74.5,65,75,0
75.5,66,73,0
76.0,67,75,0
79.0,68,70,0
79.5,69,68,0
80.0,70,0,1
82.5,70,60,0
83.0,71,61,0
83.5,72,73,0
86.5,73,73,0
87.0,74,73,0
87.5,75,73,0
88.0,76,0,1
89.5,76,76,0
90.5,77,73,0
91.5,78,71,0
92.0,79,73,0
94.0,80,70,0
94.5,81,68,0
95.0,82,66,0
95.5,83,70,0
96.0,84,0,1
96.5,84,65,0
97.0,85,62,0
97.5,86,63,0
98.0,87,66,0
98.5,88,70,0
99.0,89,74,0
99.5,90,77,0
104.0,91,0,1
105.0,91,75,0
105.5,92,73,0
106.0,93,75,0
106.5,94,78,0
107.0,95,75,0
107.5,96,73,0
108.0,97,70,0
108.5,98,66,0
109.0,99,67,0
109.5,100,68,0
112.0,101,0,1
113.0,101,70,0
113.5,102,68,0
114.0,103,70,0
114.5,104,68,0
115.0,105,66,0
115.5,106,63,0
120.5,107,66,0
121.0,108,63,0
121.5,109,61,0
122.5,110,58,0
123.0,111,61,0
123.5,112,62,0
124.0,113,0,1
129.0,113,70,0
129.5,114,68,0
130.0,115,0,1
130.5,115,73,0
131.0,116,71,0
131.5,117,70,0
133.5,117,70,0
134.0,118,0,1
134.5,119,68,0
135.0,120,66,0
135.5,121,65,0
137.5,122,65,0
138.0,123,0,1
138.5,123,63,0
139.0,124,61,0
139.5,125,60,0
140.5,126,66,0
141.0,127,65,0
141.5,128,68,0
142.0,129,66,0
142.5,130,65,0
143.0,131,63,0
143.5,132,62,0
144.0,132,0,1
148.0,132,0,4
