On,Off,Pitch,Velocity
213157.575,344736.32499999995,65,105
328946.875,460525.625,62,85
505262.4,636841.15,63,82
634209.575,765788.325,66,85
831577.7,963156.45,70,85
963156.45,1094735.2,74,102
1157893.0,2444733.175,77,102
2852627.3,2986837.625,75,113
3044732.2750000004,3176311.025,73,100
3165784.725,3297363.475,75,89
3363152.85,3510521.0500000003,78,82
3481573.725,3613152.475,75,100
3678941.85,3810520.6,73,64
3792099.5749999997,3923678.325,70,89
3999994.0,4131572.75,66,66
4099993.8499999996,4231572.600000001,67,82
4315783.0,4986834.625,68,105
5378939.300000001,5521044.350000001,70,116
5563149.55,5694728.300000001,68,102
5702623.025,5831570.199999999,70,100
5876306.975000001,5992096.275,68,89
6002622.575,6149990.775,66,89
6218411.725,7468409.85,63,95
7805251.449999999,7936830.2,66,110
7921040.75,8110514.15,63,85
8128935.175,8284198.100000001,61,91
8339461.175000001,8489460.95,58,66
8542092.450000001,8699986.950000001,61,89
8752618.45,10097353.275,62,105
10334195.025,10465773.775,65,110
10452615.9,10584194.65,62,61
10642089.3,10773668.05,63,48
10749983.875,10881562.625,66,85
10942088.85,11073667.600000001,70,93
11055246.575,11186825.325,74,102
11255246.275,12655244.175,77,113
12952612.15,13084190.899999999,75,102
13155243.424999999,13286822.175,73,82
13265769.575,13394716.75,75,95
13465769.275,13597348.024999999,78,85
13578927.0,13736821.5,75,98
13784189.85,13915768.600000001,73,93
13897347.575,14028926.325,70,91
14097347.275,14228926.024999999,66,87
14213136.575,14344715.325,67,95
14426294.149999999,15228924.525,68,100
15494713.600000001,15626292.35,70,119
15689450.149999999,15821028.9,68,54
15810502.600000001,15942081.35,70,110
16005239.149999999,16136817.9,68,93
16115765.299999999,16247344.05,66,98
16334186.025,17684184.0,63,105
17926288.9,18057867.65,66,113
18036815.05,18184183.25,63,72
18247341.05,18536814.3,61,93
18555235.325,18686814.075,58,89
18657866.75,18810498.1,61,100
18865761.175,20268390.650000002,62,95
21063126.3,21139441.974999998,62,105
21181547.175,21289441.75,63,91
21394704.75,22226282.450000003,75,89
22339440.174999997,22407861.125,75,102
22463124.200000003,22605229.25,75,82
22665755.475,22981544.475,75,119
23313122.925,23434175.375,78,113
23610490.9,23728911.775,75,110
23899964.150000002,23992069.275,73,110
24023648.175,24765752.325,75,110
24955225.725,25163120.150000002,70,102
25186804.325000003,25502593.325000003,68,105
26118381.875,26223644.875,60,100
26234171.175,26347328.900000002,61,100
26473644.5,27352590.549999997,73,102
27394695.75,27465748.275,73,110
27515748.200000003,27647326.95,73,102
27726274.2,28007852.724999998,73,116
28373641.65,28476273.075,76,113
28681535.925,28781535.775,73,119
28978903.9,29049956.424999997,71,80
29071009.025000002,29578903.0,73,110
29694692.3,29860481.525000002,70,119
29894692.0,30026270.75,68,66
30005218.15,30136796.900000002,66,58
30218375.724999998,30534164.724999998,70,105
30534164.724999998,30642059.3,65,110
30663111.9,30842059.0,62,60
30855216.875,30999953.5,63,78
30971006.175,31084163.900000002,66,87
31152584.85,31255216.275,70,93
31292058.325,31449952.825,74,95
31486794.875,32934161.125,77,105
33168371.3,33299950.05,75,110
33365739.425,33497318.175,73,82
33481528.725,33613107.475,75,80
33681528.425,33813107.175000004,78,82
33797317.725,33928896.475,75,100
33992054.275,34123633.025,73,87
34110475.15,34242053.9,70,105
34307843.275,34439422.025,66,76
34418369.425,34549948.175,67,93
34634158.574999996,35605209.75,68,95
35705209.6,35860472.525,70,100
35889419.85,36020998.6,68,51
36013103.875,36144682.625,70,95
36215735.15,36347313.9,68,107
36326261.3,36457840.050000004,66,68
36534155.725,38020995.6,63,102
38136784.9,38268363.65,66,100
38244679.475,38399942.4,63,78
38444679.175,38749941.875,61,98
38755205.025,38884152.2,58,82
38863099.6,39005204.65,61,80
39063099.300000004,39984150.55,62,98
40757833.6,40944675.425,70,110
40978885.900000006,41134148.824999996,68,102
41278885.45,41402569.474999994,73,110
41402569.474999994,41557832.4,71,89
41584148.15,42205199.85,70,102
42239410.324999996,42449936.325,70,105
42526252.0,42628883.425000004,68,105
42652567.6,42842041.0,66,70
42865725.175000004,43394671.75,65,91
43507829.475,43718355.475,65,107
43807829.025,43897302.574999996,63,107
43931513.050000004,44107828.575,61,70
44123618.025,44344670.325,60,85
44436775.45,44573617.35,66,105
44552564.75,44726248.699999996,65,60
44757827.599999994,44889406.35,68,110
44870985.325,45065721.875,66,82
45070985.025,45192037.474999994,65,89
45189405.9,45328879.375,63,82
45381510.875,45473616.0,62,107
