On,Off,Pitch,Velocity
5566401.5,5695130.083333334,60,84
5779469.5,5908198.083333334,62,91
5965904.0,6090193.666666666,64,98
6152338.5,6360967.583333334,65,103
6551841.0,7270945.5,64,100
7404113.0,7532841.583333333,62,112
7617181.0,7745909.583333333,61,99
7856882.5,8083267.25,62,104
8256385.0,8376235.75,64,106
8309652.0,8664765.333333332,65,93
8735788.0,8948856.0,61,113
9161924.0,11629961.666666668,61,110
12357944.0,12504428.25,62,112
12384577.5,12402333.166666668,63,63
12544378.5,12704179.5,64,99
12730813.0,12908369.666666668,65,102
12943881.0,13165826.833333332,67,103
13343383.5,14106877.166666666,65,109
14222289.0,14408723.5,64,118
14461990.5,14621791.5,63,105
14701692.0,14990221.583333334,64,103
15074561.0,15158900.416666666,71,99
15127828.0,15411918.666666666,72,90
15527330.5,15700448.25,63,101
15953466.5,17990929.25,63,105
18883151.5,19074024.916666664,62,110
19149486.5,19278215.083333336,72,106
19309287.5,19460210.666666664,70,101
19522355.5,19699912.166666664,69,97
19788690.5,19997319.583333336,67,109
20188193.0,20405699.916666664,70,113
20587695.5,21346750.25,69,92
21493234.5,21732936.0,63,113
21839470.0,22030343.416666664,64,98
22105805.0,22261167.083333336,66,110
22318873.0,22474235.083333336,69,92
22558574.5,22691742.0,66,110
22771642.5,22882615.416666664,69,107
22984710.5,23086805.583333336,66,108
23064611.0,23215534.166666664,69,94
23171145.0,23299873.583333336,66,76
23330946.0,23490747.0,62,89
23597281.0,25177535.333333336,63,110
25727961.0,25998734.916666664,68,113
26100830.0,26309459.083333336,67,106
26393798.5,26571355.166666664,65,118
26606866.5,26851006.916666664,62,98
27006369.0,27246070.5,68,113
27459138.5,27645573.0,67,116
27832007.5,28009564.166666668,65,123
28258143.5,28480089.333333332,62,114
28684279.5,29128171.166666668,65,118
29137049.0,29234705.166666668,64,102
29216949.5,29332361.333333332,63,93
29350117.0,29505479.083333332,62,90
29589818.5,31378701.916666668,61,113
32812472.0,32990028.666666668,60,114
33025540.0,33203096.666666668,62,102
33265241.5,33425042.5,64,94
33478309.5,33673621.83333333,65,100
33877812.0,34605794.33333333,64,95
