Beat,Position,Pitch,Type
264.0,197,0,1
264.5,197,65,0
265.0,198,70,0
265.5,199,74,0
266.0,200,72,0
266.5,201,70,0
267.0,202,69,0
267.5,203,70,0
268.0,204,72,0
268.5,205,70,0
269.0,206,74,0
269.5,207,66,0
270.5,208,69,0
271.5,209,72,0
272.0,210,70,0
272.5,211,65,0
273.5,212,74,0
274.0,213,75,0
274.5,214,74,0
275.0,215,71,0
275.5,216,67,0
276.0,217,74,0
277.0,218,0,1
277.5,218,74,0
278.0,219,72,0
278.5,220,71,0
279.0,221,74,0
279.5,222,72,0
280.0,223,0,1
281.5,223,65,0
282.5,224,70,0
283.5,225,66,0
284.0,226,67,0
284.5,227,70,0
285.0,228,72,0
285.5,229,74,0
286.0,230,75,0
286.3333333333333,231,77,0
286.6666666666667,232,75,0
287.0,233,74,0
287.5,234,69,0
288.5,235,70,0
288.75,236,72,0
289.0,237,69,0
289.5,238,70,0
289.75,239,72,0
290.0,240,68,0
291.0,241,0,1
291.5,241,66,0
292.0,242,67,0
292.5,243,72,0
293.0,244,70,0
293.5,245,67,0
294.0,246,74,0
294.5,247,72,0
295.0,248,0,1
296.5,248,65,0
297.0,249,70,0
297.5,250,74,0
298.0,251,72,0
298.5,252,70,0
299.0,253,69,0
299.5,254,70,0
300.0,255,72,0
300.5,256,70,0
301.0,257,74,0
301.5,258,66,0
302.5,259,69,0
303.5,260,72,0
304.0,261,70,0
304.5,262,65,0
305.5,263,74,0
306.0,264,75,0
306.5,265,74,0
307.0,266,71,0
307.5,267,67,0
308.0,268,74,0
309.0,269,0,1
309.5,269,74,0
310.0,270,72,0
310.5,271,71,0
311.0,272,74,0
311.5,273,72,0
312.0,274,0,1
313.5,274,65,0
314.5,275,70,0
315.5,276,66,0
316.0,277,67,0
316.5,278,70,0
317.0,279,72,0
317.5,280,74,0
318.0,281,75,0
318.3333333333333,282,77,0
318.6666666666667,283,75,0
319.0,284,74,0
319.5,285,69,0
320.5,286,70,0
320.75,287,72,0
321.0,288,69,0
321.5,289,70,0
321.75,290,72,0
322.0,291,68,0
323.5,292,67,0
324.0,293,70,0
324.5,294,72,0
325.0,295,70,0
325.5,296,70,0
326.0,297,0,1
328.0,297,67,0
329.0,298,0,1
329.5,298,64,0
330.0,299,71,0
330.5,300,69,0
331.0,301,66,0
331.5,302,62,0
332.0,303,63,0
332.5,304,64,0
333.0,305,67,0
333.25,306,71,0
333.5,307,66,0
335.0,308,0,1
335.5,308,62,0
336.0,309,67,0
336.5,310,72,0
337.0,311,71,0
337.1666666666667,312,72,0
337.3333333333333,313,71,0
337.5,314,67,0
338.0,315,72,0
338.5,316,71,0
339.0,317,67,0
339.5,318,65,0
341.0,319,0,1
342.5,319,67,0
343.5,320,65,0
344.0,321,69,0
345.0,322,0,1
345.5,322,67,0
346.0,323,72,0
346.5,324,70,0
347.0,325,67,0
347.5,326,62,0
348.0,327,65,0
348.5,328,63,0
349.0,329,64,0
349.5,330,69,0
351.5,331,60,0
352.0,332,67,0
353.0,333,0,1
353.5,333,65,0
354.0,334,72,0
354.5,335,70,0
355.0,336,67,0
355.5,337,63,0
356.0,338,66,0
356.5,339,69,0
357.0,340,72,0
357.5,341,74,0
358.0,342,75,0
358.25,343,77,0
358.5,344,74,0
359.0,345,0,1
360.5,345,65,0
361.0,346,70,0
361.5,347,74,0
362.0,348,72,0
362.5,349,70,0
363.0,350,69,0
363.5,351,70,0
364.0,352,72,0
364.5,353,70,0
365.0,354,74,0
365.5,355,66,0
366.5,356,69,0
367.5,357,72,0
368.0,358,70,0
368.5,359,65,0
369.5,360,74,0
370.0,361,75,0
370.5,362,74,0
371.0,363,71,0
371.5,364,67,0
372.0,365,74,0
373.0,366,0,1
373.5,366,74,0
374.0,367,72,0
374.5,368,71,0
375.0,369,74,0
375.5,370,72,0
376.0,371,0,1
377.5,371,65,0
378.5,372,70,0
379.5,373,66,0
380.0,374,67,0
380.5,375,70,0
381.0,376,72,0
381.5,377,74,0
382.0,378,75,0
382.3333333333333,379,77,0
382.6666666666667,380,75,0
383.0,381,74,0
383.5,382,69,0
384.5,383,70,0
384.75,384,72,0
385.0,385,69,0
385.5,386,70,0
385.75,387,72,0
386.0,388,68,0
387.0,389,0,1
387.5,389,67,0
388.0,390,70,0
388.5,391,72,0
389.0,392,70,0
389.5,393,70,0
390.0,394,0,1
392.0,401,0,1
392.5,394,65,0
393.0,395,70,0
393.5,396,74,0
394.0,397,72,0
394.5,398,70,0
395.0,399,69,0
395.5,400,70,0
396.0,401,72,0
397.5,402,77,0
400.0,402,0,4
