On,Off,Pitch,Velocity
111742745.4,111832031.02499999,76,117
112149887.85000001,112249887.75000001,74,104
112299887.70000002,112467744.67500001,72,100
112585601.69999999,112689173.02499999,67,104
112742744.39999999,112907029.94999999,65,111
113010601.27499999,114774885.22500001,64,113
115203456.22500001,115282027.575,76,117
115607027.25,115774884.225,74,117
115764169.95,115939169.77499999,72,89
116046312.52499999,116189169.525,67,99
116185598.10000001,116410597.875,65,103
116482026.37500001,118189167.52499999,64,106
118628452.80000001,118728452.70000002,67,117
118899881.10000001,119014166.69999999,65,117
119174880.82499999,119328452.10000001,64,109
119460594.825,119632023.225,62,111
119703451.72500001,119853451.57500002,60,94
120003451.425,120685593.60000001,72,115
120778450.64999999,121592735.54999998,69,112
122042735.1,122203449.225,64,117
122317734.82500002,122417734.725,65,109
122471306.1,122535591.75000001,66,108
122632020.225,122807020.05000001,67,109
122921305.64999999,123003448.425,60,68
123039162.67499998,123132019.72500001,63,117
123192733.94999999,123278448.14999999,64,107
123346305.22500001,124949875.05000001,60,113
125464160.25,125553445.87499999,76,117
125874874.12499999,125978445.44999999,74,115
126039159.67499998,126210588.075,72,101
126324873.675,126421302.15,67,91
126467730.67499998,126707016.14999999,65,114
126764158.95000002,128492728.64999999,64,112
128878442.54999998,128928442.49999999,74,105
128889156.825,129003442.425,76,117
129171299.39999999,129303442.12499999,74,112
129428442.0,129624870.37499999,72,105
129732013.12499999,129874870.12500001,67,93
129871298.70000002,130099869.89999999,65,101
130192726.95000002,132017725.12500001,64,117
132335581.95000002,132514153.19999999,67,117
132603438.82500002,132757010.1,65,114
132878438.55000001,133178438.25,64,117
133160581.12499999,133282009.575,62,89
133317723.82499999,133414152.30000001,60,99
133603437.825,134435579.85,72,114
134464151.25,135403436.025,69,105
135739149.97500002,135949864.04999998,64,117
136032006.82500002,136110578.17499998,65,101
136178435.25,136257006.6,66,117
136324863.67499998,136514149.20000002,67,105
136610577.67499998,136710577.57500002,60,80
136749863.25,136889148.82500002,63,117
137024862.97500002,137149862.85,64,111
137189148.525,138857004.0,60,91
