Beat,Position,Pitch,Type
4.0,0,0,1
4.5,0,73,0
5.5,1,71,0
6.0,2,69,0
6.5,3,64,0
7.0,4,62,0
7.5,5,61,0
11.0,6,0,1
12.5,6,73,0
13.5,7,71,0
14.0,8,69,0
14.5,9,64,0
15.0,10,62,0
15.5,11,61,0
20.0,12,0,1
20.5,12,64,0
21.5,13,62,0
22.0,14,61,0
22.5,15,59,0
23.0,16,57,0
24.0,17,69,0
25.5,18,66,0
28.0,19,0,1
28.5,19,61,0
29.0,20,62,0
29.5,21,63,0
30.0,22,64,0
30.5,23,57,0
31.0,24,60,0
31.25,25,61,0
31.5,26,57,0
36.0,27,0,1
36.5,27,73,0
37.5,28,71,0
38.0,29,69,0
38.5,30,64,0
39.0,31,62,0
39.5,32,61,0
43.0,33,0,1
44.5,33,71,2
44.5,34,73,0
45.5,35,71,0
46.0,36,69,0
46.5,37,64,0
47.0,38,62,0
47.5,39,61,0
52.0,40,0,1
52.5,40,64,0
53.5,41,62,0
54.0,42,61,0
54.5,43,59,0
55.0,44,57,0
55.5,45,69,0
57.5,46,66,0
60.5,47,61,0
61.0,48,62,0
61.5,49,63,0
62.0,50,64,0
62.5,51,57,0
63.0,52,60,0
63.5,53,61,0
64.0,54,57,0
69.5,55,69,0
71.0,56,69,0
72.0,57,71,0
73.5,58,69,0
75.0,59,66,0
75.5,60,69,0
78.5,61,69,0
80.0,62,71,0
82.0,63,69,0
82.5,64,64,0
83.5,65,61,0
86.5,66,69,0
88.0,67,71,0
90.0,68,69,0
91.0,69,66,0
91.5,70,69,0
96.0,71,0,1
96.5,71,66,2
96.5,72,68,0
97.0,73,68,0
97.5,74,68,0
98.0,75,68,0
99.0,76,68,0
99.5,77,64,0
100.5,78,73,0
101.5,79,71,0
102.0,80,69,0
102.5,81,64,0
103.0,82,62,0
103.5,83,61,0
108.0,84,0,1
108.5,84,71,2
108.5,85,73,0
109.16666666666667,86,71,0
109.83333333333333,87,69,0
110.5,88,64,0
111.0,89,62,0
111.5,90,61,0
116.0,91,0,1
116.5,91,64,0
117.5,92,62,0
118.0,93,61,0
118.5,94,59,0
119.0,95,57,0
119.5,96,69,0
121.5,97,66,0
124.0,98,0,1
124.5,98,61,0
125.0,99,62,0
125.5,100,63,0
126.0,101,64,0
126.5,102,57,0
127.0,103,60,0
127.25,104,61,0
127.5,105,57,0
132.0,105,0,4
