Beat,Position,Pitch,Type
0.0,0,0,1
8.666666666666666,0,69,0
9.333333333333334,1,72,0
10.0,2,70,0
10.666666666666666,3,69,0
11.333333333333334,4,65,0
12.0,5,70,0
12.666666666666666,6,72,0
13.333333333333334,7,73,0
14.0,8,0,1
19.75,8,77,0
20.0,9,78,0
20.25,10,75,0
20.5,11,77,0
20.75,12,73,0
21.0,13,75,0
21.5,14,0,1
24.5,14,65,0
30.5,15,70,0
31.0,16,0,1
40.0,16,65,0
56.0,17,65,0
56.5,18,65,0
57.0,19,62,0
57.5,20,58,0
58.0,21,0,1
59.5,21,62,0
60.5,22,65,0
61.5,23,68,0
63.0,24,0,1
78.5,24,82,0
79.0,25,0,1
88.0,25,62,3
88.0,26,65,0
96.0,27,65,0
96.0,28,63,3
104.0,29,0,1
200.66666666666666,29,69,0
201.33333333333334,30,72,0
202.0,31,70,0
202.66666666666666,32,69,0
203.33333333333334,33,65,0
204.0,34,70,0
204.66666666666666,35,72,0
205.33333333333334,36,73,0
206.0,37,0,1
211.75,37,77,0
212.0,38,78,0
212.25,39,75,0
212.5,40,77,0
212.75,41,73,0
213.0,42,75,0
213.5,43,0,1
216.5,43,65,0
222.5,44,70,0
223.0,45,0,1
232.0,45,65,0
248.0,46,65,0
248.5,47,65,0
249.0,48,62,0
249.5,49,58,0
250.0,50,0,1
251.5,50,62,0
252.5,51,65,0
253.5,52,68,0
255.0,53,0,1
270.5,53,82,0
271.0,54,0,1
280.0,54,62,3
280.0,55,65,0
288.0,56,65,0
288.0,57,63,3
296.0,57,0,4
