On,Off,Pitch,Velocity
4184000.0,4528000.0,69,122
4520000.0,4876000.0,72,109
4832000.0,5164000.0,70,125
5136000.0,5516000.0,69,111
5524000.0,5852000.0,65,109
5840000.0,6136000.0,70,122
6120000.0,6452000.0,72,115
6440000.0,7544000.0,73,127
9492000.0,9636000.0,77,107
9644000.0,9796000.0,78,119
9764000.0,9880000.0,75,90
9880000.0,10012000.0,77,113
10008000.0,10176000.0,73,100
10140000.0,10620000.0,75,119
11832000.0,14656000.0,65,127
14680000.0,15168000.0,70,127
19244000.0,25808000.0,65,120
26960000.0,27108000.0,65,125
27212000.0,27368000.0,65,127
27408000.0,27620000.0,62,122
27672000.0,28560000.0,58,109
28620000.0,29076000.0,62,127
29096000.0,29504000.0,65,125
29564000.0,30684000.0,68,127
37732000.0,38212000.0,82,127
42276000.0,45764000.0,62,125
42276000.0,45852000.0,65,111
46120000.0,49920000.0,65,120
46120000.0,49908000.0,63,120
96344000.0,96688000.0,69,122
96680000.0,97036000.0,72,109
96992000.0,97324000.0,70,125
97296000.0,97676000.0,69,111
97684000.0,98012000.0,65,109
98000000.0,98296000.0,70,122
98280000.0,98612000.0,72,115
98600000.0,99704000.0,73,127
101652000.0,101796000.0,77,107
101804000.0,101956000.0,78,119
101924000.0,102040000.0,75,90
102040000.0,102172000.0,77,113
102168000.0,102336000.0,73,100
102300000.0,102780000.0,75,119
103992000.0,106816000.0,65,127
106840000.0,107328000.0,70,127
111404000.0,117968000.0,65,120
119120000.0,119268000.0,65,125
119372000.0,119528000.0,65,127
119568000.0,119780000.0,62,122
119832000.0,120720000.0,58,109
120780000.0,121236000.0,62,127
121256000.0,121664000.0,65,125
121724000.0,122844000.0,68,127
129892000.0,130372000.0,82,127
134436000.0,137924000.0,62,125
134436000.0,138012000.0,65,111
138280000.0,142080000.0,65,120
138280000.0,142068000.0,63,120
