On,Off,Pitch,Velocity
3290381.3249999997,3692304.0,69,72
3692304.0,4213457.325,76,110
4213457.325,4615380.0,76,87
4615380.0,5136533.325,76,82
5136533.325,5538456.0,77,85
5538456.0,6059609.325,74,70
6059609.325,6461532.0,74,77
6461532.0,6982685.325,72,72
6982685.325,7384608.0,71,71
7384608.0,7905761.325,74,95
7905761.325,8307684.0,74,82
8307684.0,8828837.325,74,84
8828837.325,9230760.0,76,90
9230760.0,10153836.0,72,67
10674989.325,11076912.0,69,69
11076912.0,11598065.325,72,95
11598065.325,11999988.0,72,83
11999988.0,12521141.325,72,81
12521141.325,12923064.0,74,88
12923064.0,13444217.325,71,72
13444217.325,13846140.0,71,77
13846140.0,14367293.325,69,71
14367293.325,14769216.0,67,67
14769216.0,15290369.325000001,70,94
15290369.325000001,15692292.0,70,84
15692292.0,16213445.325000001,70,82
16213445.325000001,16615368.0,72,91
16615368.0,17538444.0,69,68
18059597.325000003,18461520.0,64,73
18461520.0,18982673.325000003,67,94
18982673.325000003,19384596.0,67,80
19384596.0,19905749.325000003,67,85
19905749.325000003,20307672.0,69,89
20307672.0,20828825.325000003,65,70
20828825.325000003,21230748.0,68,90
21230748.0,21751901.325000003,71,99
21751901.325000003,22153824.0,72,91
22153824.0,22674977.325000003,74,96
22674977.325000003,23076900.0,74,82
23076900.0,23382668.925,74,83
23382668.925,23688437.85,74,81
23688437.85,25846128.0,71,65
25846128.0,26367281.325000003,69,74
26367281.325000003,26769204.0,69,77
26769204.0,27290357.325000003,69,81
27290357.325000003,28213433.325000003,71,90
28213433.325000003,28615356.0,71,80
28615356.0,29136509.325000003,71,85
29136509.325000003,32307660.0,67,61
32828813.325,33230736.0,69,69
33230736.0,33751889.324999996,76,109
33751889.324999996,34153812.0,76,88
34153812.0,34674965.324999996,76,83
34674965.324999996,35076888.0,77,88
35076888.0,35598041.324999996,74,73
35598041.324999996,35999964.0,74,76
35999964.0,36521117.324999996,72,70
36521117.324999996,36923040.0,71,69
36923040.0,37444193.324999996,74,92
37444193.324999996,37846116.0,74,83
37846116.0,38367269.324999996,74,83
38367269.324999996,38769192.0,76,91
38769192.0,39692268.0,72,64
40213421.324999996,40615344.0,69,70
40615344.0,41136497.324999996,72,92
41136497.324999996,41538420.0,72,84
41538420.0,42059573.324999996,72,82
42059573.324999996,42461496.0,74,91
42461496.0,42982649.324999996,71,70
42982649.324999996,43384572.0,71,78
43384572.0,43905725.324999996,69,73
43905725.324999996,44307648.0,67,68
44307648.0,44828801.324999996,70,92
44828801.324999996,45230724.0,70,84
45230724.0,45751877.324999996,70,82
45751877.324999996,46153800.0,72,89
46153800.0,47076876.0,69,69
47598029.324999996,47999952.0,64,73
47999952.0,48521105.324999996,67,96
48521105.324999996,48923028.0,67,83
48923028.0,49444181.324999996,67,84
49444181.324999996,49846104.0,69,89
49846104.0,50367257.324999996,65,68
50367257.324999996,50769180.0,68,90
50769180.0,51290333.324999996,71,99
51290333.324999996,51692256.0,72,90
51692256.0,52213409.324999996,74,96
52213409.324999996,52615332.0,74,84
52615332.0,52921100.925,74,83
52921100.925,53226869.85,74,81
53226869.85,55384560.0,71,67
55384560.0,55905713.324999996,69,71
55905713.324999996,56307636.0,69,75
56307636.0,56828789.324999996,69,81
56828789.324999996,57751865.324999996,71,89
57751865.324999996,58153788.0,71,81
58153788.0,58674941.324999996,71,82
58674941.324999996,61846092.0,72,87
62367245.324999996,62769168.0,72,71
62769168.0,63290321.324999996,72,83
63290321.324999996,63692244.0,72,81
63692244.0,64213397.324999996,72,81
64213397.324999996,64615320.0,72,79
64615320.0,65136473.324999996,75,96
65136473.324999996,65538396.0,75,84
65538396.0,66059549.324999996,73,73
66059549.324999996,66461472.0,75,89
66461472.0,66982625.324999996,72,70
66982625.324999996,67384548.0,72,78
67384548.0,69230700.0,72,80
69751853.325,70153776.0,72,71
70153776.0,70674929.325,72,80
70674929.325,71076852.0,72,78
71076852.0,71598005.325,72,83
71598005.325,71999928.0,72,80
71999928.0,72521081.325,73,90
72521081.325,72923004.0,68,60
72923004.0,73444157.325,67,72
73444157.325,73846080.0,65,65
73846080.0,76615308.0,72,107
77136461.325,77538384.0,72,73
77538384.0,78059537.325,71,74
78059537.325,78461460.0,71,77
78461460.0,78982613.325,71,83
78982613.325,79384536.0,71,78
79384536.0,79905689.325,74,98
79905689.325,80307612.0,74,84
80307612.0,80828765.325,72,73
80828765.325,81230688.0,74,86
81230688.0,81751841.325,71,73
81751841.325,82153764.0,71,77
82153764.0,83999916.0,71,81
84521069.325,84922992.0,71,72
84922992.0,85444145.325,72,89
85444145.325,85846068.0,72,81
85846068.0,86367221.325,72,85
86367221.325,86769144.0,72,80
86769144.0,87290297.325,72,82
87290297.325,87692220.0,72,78
87692220.0,88213373.325,71,74
88213373.325,88615296.0,72,86
88615296.0,91384524.0,74,93
91905677.325,92307600.0,69,69
92307600.0,92828753.325,76,108
92828753.325,93230676.0,76,86
93230676.0,93751829.325,76,83
93751829.325,94153752.0,77,88
94153752.0,94674905.325,74,72
94674905.325,95076828.0,74,77
95076828.0,95597981.325,72,74
95597981.325,95999904.0,71,70
95999904.0,96521057.325,74,94
96521057.325,96922980.0,74,83
96922980.0,97444133.325,74,82
97444133.325,97846056.0,76,91
97846056.0,98769132.0,72,65
99290285.325,99692208.0,69,70
99692208.0,100213361.325,72,95
100213361.325,100615284.0,72,83
100615284.0,101136437.325,72,83
101136437.325,101538360.0,74,89
101538360.0,102059513.325,71,70
102059513.325,102461436.0,71,76
102461436.0,102982589.325,69,73
102982589.325,103384512.0,67,66
103384512.0,103905665.325,70,94
103905665.325,104307588.0,70,82
104307588.0,104828741.325,70,83
104828741.325,105230664.0,72,89
105230664.0,106153740.0,69,70
106674893.325,107076816.0,64,71
107076816.0,107597969.325,67,93
107597969.325,107999892.0,67,83
107999892.0,108521045.325,67,83
108521045.325,108922968.0,69,91
108922968.0,109444121.325,65,67
109444121.325,109846044.0,68,90
109846044.0,110367197.325,71,98
110367197.325,110769120.0,72,90
110769120.0,111290273.325,74,94
111290273.325,111692196.0,74,84
111692196.0,111997964.925,74,81
111997964.925,112303733.85,74,80
112303733.85,114461424.0,71,67
114461424.0,114982577.325,69,72
114982577.325,115384500.0,69,77
115384500.0,115905653.325,69,80
115905653.325,116828729.325,76,110
116828729.325,117230652.0,76,83
117230652.0,117751805.325,76,83
117751805.325,119999880.0,72,61
