On,Off,Pitch,Velocity
5420640.0,6945195.0,67,125
6945195.0,7425147.5,76,125
7413678.046875,7576897.1875,67,125
7746292.1875,7927156.640625,72,125
8102727.5,8288885.546875,76,125
8288885.546875,10806871.640625,68,125
10823634.6875,11817948.046875,69,125
12184970.546875,12376422.1875,69,125
12371128.59375,12540523.59375,70,125
12529054.140625,12686979.6875,71,125
12709918.59375,12856374.6875,76,125
12856374.6875,13071647.5,67,125
13065471.640625,13184577.5,66,125
13189871.09375,13387498.59375,65,125
13392792.1875,13505722.1875,74,125
13528661.09375,13714819.140625,72,125
13720995.0,16069586.09375,64,125
16261920.0,17786475.0,67,125
17786475.0,18266427.5,76,125
18254958.046875,18418177.1875,67,125
18587572.1875,18768436.640625,72,125
18944007.5,19130165.546875,76,125
19130165.546875,21648151.640625,68,125
21664914.6875,23020074.6875,69,125
23026250.546875,23217702.1875,69,125
23212408.59375,23381803.59375,70,125
23370334.140625,23528259.6875,71,125
23551198.59375,23697654.6875,76,125
23697654.6875,23912927.5,67,125
23906751.640625,24025857.5,66,125
24031151.09375,24228778.59375,65,125
24234072.1875,24347002.1875,74,125
24369941.09375,24556099.140625,72,125
24562275.0,26910866.09375,64,125
27119963.046875,27353763.4375,69,125
27329060.0,28491886.09375,72,125
28475123.046875,28684220.0,76,125
28672750.546875,29169466.09375,69,125
29160643.4375,29279749.296875,72,125
29496786.640625,29686473.75,74,125
29830283.046875,30039380.0,76,125
30047320.390625,32477962.1875,69,125
32540603.046875,32712644.84375,69,125
32738230.546875,33841944.84375,72,125
33879000.0,34067804.84375,76,125
34104860.0,34564520.390625,66,125
34581283.4375,34736562.1875,69,125
34917426.640625,35123876.796875,72,125
35242100.390625,35431787.5,76,125
35460020.0,36614023.4375,69,125
36589320.0,37888015.0,68,125
37944480.0,39469035.0,67,125
39469035.0,39948987.5,76,125
39937518.046875,40100737.1875,67,125
40270132.1875,40450996.640625,72,125
40626567.5,40812725.546875,76,125
40812725.546875,43330711.640625,68,125
43347474.6875,44702634.6875,69,125
44708810.546875,44900262.1875,69,125
44894968.59375,45064363.59375,70,125
45052894.140625,45210819.6875,71,125
45233758.59375,45380214.6875,76,125
45380214.6875,45595487.5,67,125
45589311.640625,45708417.5,66,125
45713711.09375,45911338.59375,65,125
45916632.1875,46029562.1875,74,125
46052501.09375,46238659.140625,72,125
92150880.0,92602600.0,60,110
92659065.0,92863750.625,62,110
92828460.0,92959035.3125,64,110
92997855.0,93153133.75,65,103
93336645.0,93488394.6875,67,103
93675435.0,94070690.0,69,110
94183620.0,94356544.0625,71,103
94518880.9375,94681217.8125,72,110
102992160.0,103443880.0,60,110
103500345.0,103705030.625,62,110
103669740.0,103800315.3125,64,110
103839135.0,103994413.75,65,103
104177925.0,104329674.6875,67,103
104516715.0,104911970.0,69,110
105024900.0,105197824.0625,71,103
105360160.9375,105522497.8125,72,110
111123120.0,111631305.0,79,95
111631305.0,112139490.0,77,108
112478280.0,112986465.0,76,104
112986465.0,113494650.0,75,97
113833440.0,115357995.0,67,125
115357995.0,115837947.5,76,125
115826478.046875,115989697.1875,67,125
116159092.1875,116339956.640625,72,125
116515527.5,116701685.546875,76,125
116701685.546875,119219671.640625,68,125
119236434.6875,120591594.6875,69,125
120597770.546875,120789222.1875,69,125
120783928.59375,120953323.59375,70,125
120941854.140625,121099779.6875,71,125
121122718.59375,121269174.6875,76,125
121269174.6875,121484447.5,67,125
121478271.640625,121597377.5,66,125
121602671.09375,121800298.59375,65,125
121805592.1875,121918522.1875,74,125
121941461.09375,122127619.140625,72,125
122133795.0,124482386.09375,64,125
124674720.0,126199275.0,67,125
126199275.0,126679227.5,76,125
126667758.046875,126830977.1875,67,125
127000372.1875,127181236.640625,72,125
127356807.5,127542965.546875,76,125
127542965.546875,130060951.640625,68,125
130077714.6875,131072028.046875,69,125
131439050.546875,131630502.1875,69,125
131625208.59375,131794603.59375,70,125
131783134.140625,131941059.6875,71,125
131963998.59375,132110454.6875,76,125
132110454.6875,132325727.5,67,125
132319551.640625,132438657.5,66,125
132443951.09375,132641578.59375,65,125
132646872.1875,132759802.1875,74,125
132782741.09375,132968899.140625,72,125
132975075.0,135323666.09375,64,125
135532763.046875,135766563.4375,69,126
135741860.0,136904686.09375,72,126
136887923.046875,137097020.0,76,126
137085550.546875,137582266.09375,69,126
137573443.4375,137692549.296875,72,126
137909586.640625,138099273.75,74,126
138243083.046875,138452180.0,76,126
138460120.390625,139581480.0,69,126
139807340.0,140287292.5,65,89
140259060.0,140442571.25,64,87
140597850.0,140876645.9375,63,85
140953403.046875,141125444.84375,69,126
141151030.546875,142254744.84375,72,126
142291800.0,142480604.84375,76,126
142517660.0,142977320.390625,66,126
142994083.4375,143149362.1875,69,126
143330226.640625,143536676.796875,72,126
143654900.390625,143844587.5,76,126
143872820.0,145026823.4375,69,126
145002120.0,146300815.0,68,126
146357280.0,147881835.0,67,126
147881835.0,148361787.5,76,126
148350318.046875,148513537.1875,67,126
148682932.1875,148863796.640625,72,126
149039367.5,149225525.546875,76,126
149225525.546875,151743511.640625,68,126
151760274.6875,152754588.046875,69,126
153121610.546875,153313062.1875,69,126
153307768.59375,153477163.59375,70,126
153465694.140625,153623619.6875,71,126
153646558.59375,153793014.6875,76,126
153793014.6875,154008287.5,67,126
154002111.640625,154121217.5,66,126
154126511.09375,154324138.59375,65,126
154329432.1875,154442362.1875,74,126
154465301.09375,154651459.140625,72,126
157424420.0,157864670.546875,64,126
157876140.0,158013773.4375,65,126
158214930.0,158304921.09375,66,126
158553720.0,158770757.34375,67,126
158779580.0,158895156.796875,69,126
158892510.0,159058375.9375,71,126
159118370.0,161264040.0,72,126
