Beat,Position,Pitch,Type
132.0,79,0,1
134.66666666666666,79,63,5
136.0,80,59,0
140.0,81,68,0
141.0,82,66,0
142.66666666666666,83,68,5
144.0,84,58,0
148.0,85,70,0
149.0,86,68,0
150.66666666666666,87,70,5
152.0,88,63,0
156.0,89,73,0
157.0,90,71,0
158.66666666666666,91,63,5
160.0,92,66,0
164.0,93,75,0
165.0,94,73,0
167.66666666666666,95,66,5
168.0,96,71,0
169.66666666666666,97,70,5
170.0,98,71,0
171.66666666666666,99,73,5
172.0,100,71,0
172.66666666666666,101,70,0
173.33333333333334,102,69,0
174.0,103,68,5
174.66666666666666,104,67,5
175.66666666666666,105,66,5
177.66666666666666,106,66,5
182.66666666666666,107,66,5
183.0,108,67,0
184.0,109,68,0
185.66666666666666,110,67,5
186.0,111,68,5
186.66666666666666,112,70,5
188.0,113,68,0
188.66666666666666,114,67,0
189.33333333333334,115,66,0
190.0,116,65,0
191.0,117,64,5
191.66666666666666,118,63,5
193.66666666666666,119,63,5
198.66666666666666,120,63,5
200.0,121,59,0
204.0,122,68,0
205.0,123,66,0
206.66666666666666,124,68,5
208.0,125,58,0
212.0,126,70,0
213.0,127,68,0
214.66666666666666,128,70,5
216.0,129,63,0
220.0,130,73,0
221.0,131,71,0
222.66666666666666,132,63,5
224.0,133,66,0
228.0,134,75,0
229.0,135,73,0
230.66666666666666,136,66,5
232.0,137,71,0
233.66666666666666,138,70,5
234.0,139,71,0
235.0,140,73,0
236.0,141,75,0
236.66666666666666,142,73,0
237.33333333333334,143,71,0
238.0,144,70,5
238.66666666666666,145,69,5
239.66666666666666,146,68,5
244.0,147,71,0
244.66666666666666,148,70,0
245.33333333333334,149,69,0
246.0,150,68,0
247.0,151,67,5
247.66666666666666,152,66,5
252.0,153,70,0
252.66666666666666,154,68,0
253.33333333333334,155,67,0
254.0,156,66,0
255.0,157,73,5
255.66666666666666,158,71,5
262.0,159,0,1
264.0,159,0,4
