On,Off,Pitch,Velocity
2125000.0,2252500.0,76,90
2312500.0,2410000.0,79,89
2595000.0,2742500.0000000005,74,84
2895000.0,3020000.0,72,97
3010000.0,3135000.0,71,60
3195000.0,3320000.0,72,88
3310000.0,3435000.0,74,51
3490000.0,3615000.0,76,90
3605000.0000000005,3742500.0,75,96
3792500.0000000005,3917500.0,67,57
3902500.0,4027500.0,70,75
4107500.0,4232500.0,74,88
4240000.0,4365000.0,72,53
4545000.0,4665000.0,74,98
4735000.0,4877500.0,77,87
5010000.0,5150000.0,72,79
5312500.0,5437500.0,70,104
5425000.0,5550000.0,69,60
5587500.0,5660000.0,70,94
5710000.000000001,5830000.0,72,50
5885000.0,6010000.000000001,74,74
6002500.0,6127500.0,73,95
6190000.0,6315000.0,65,74
6312500.0,6437500.0,68,75
6495000.0,6620000.0,72,85
6615000.0,6760000.000000001,70,81
6935000.0,7062500.0,72,93
7135000.000000001,7262500.0,75,100
7414999.999999999,7517500.0,72,85
7705000.0,7830000.0,68,101
7830000.0,7952500.0,67,55
8017500.0,8092500.0,70,96
8140000.0,8257500.0,68,84
8330000.0,9110000.0,67,84
9227500.0,9297500.0,70,101
9345000.0,9482500.0,68,64
9540000.0,10897500.0,67,86
11720000.000000002,11845000.0,76,86
11917500.0,12062500.0,79,90
12210000.0,12367500.0,74,90
12500000.0,12625000.0,72,91
12640000.0,12765000.0,71,60
12790000.0,12852500.0,72,91
12907500.0,13032500.000000002,74,65
13082500.0,13207500.0,76,93
13205000.0,13329999.999999998,75,96
13397500.0,13522500.0,67,69
13515000.0,13640000.0,70,75
13712500.0,13850000.0,74,86
13835000.0,13980000.0,72,70
14152500.0,14252500.0,74,86
14340000.0,14500000.0,77,81
14620000.0,14757500.000000002,72,84
14904999.999999998,14975000.0,70,98
15025000.0,15125000.0,69,56
15185000.0,15277500.0,70,98
15322500.0,15415000.0,72,50
15480000.0,15547500.0,74,98
15605000.0,15722500.0,73,86
15804999.999999998,15885000.0,65,56
15920000.000000002,16027500.0,68,80
16104999.999999998,16162500.0,72,88
16227500.0,16360000.0,70,85
16527500.0,16657500.0,72,76
16727500.0,16860000.0,75,101
17012500.0,17207500.0,72,85
17312500.0,17387500.0,68,96
17430000.0,17537500.0,67,51
17605000.0,17685000.0,70,96
17727500.0,17857500.0,68,72
17920000.0,18692500.0,67,78
18830000.0,18902500.0,70,101
18937500.0,19080000.0,68,61
19145000.0,20830000.0,67,84
21205000.0,21275000.0,69,88
21320000.0,21432500.0,71,82
21507500.0,22335000.0,72,91
22525000.0,22657500.0,74,88
22735000.0,23545000.0,76,94
23717500.0,23872500.0,74,85
23940000.0,24822499.999999996,72,88
24910000.0,24927500.0,75,96
24917500.0,25110000.0,76,88
25130000.0,26110000.0,69,79
26120000.0,26302500.0,71,79
26337500.0,27320000.0,72,82
27322500.0,27517500.0,74,78
27550000.0,28527500.0,76,72
28530000.0,28705000.0,77,79
28730000.0,29270000.0,79,86
29415000.0,29567500.0,79,86
29617500.0,29685000.0,76,59
29715000.0,29817500.0,77,65
29895000.0,30725000.0,79,88
30932500.0,31022500.0,76,81
31132500.0,31280000.0,79,86
31422499.999999996,31572499.999999996,74,85
31720000.0,31795000.0,72,83
31845000.0,31935000.0,71,52
31995000.0,32059999.999999996,72,87
32120000.0,32202500.0,74,72
32272500.0,32340000.0,76,75
32405000.0,32500000.0,75,87
32600000.0,32655000.0,67,49
32707500.0,32820000.0,70,84
32892500.0,32957500.0,74,82
33017500.0,33160000.0,72,75
33342500.0,33452500.000000004,74,90
33540000.0,33645000.0,77,83
33817500.0,34005000.0,72,84
34122500.0,34190000.0,70,95
34245000.0,34337500.0,69,50
34397500.0,34457500.0,70,92
34517500.0,34632500.0,72,44
34685000.0,34747500.0,74,96
34802500.0,34905000.0,73,88
34995000.0,35052500.0,65,57
35107500.0,35205000.0,68,78
35292500.0,35350000.0,72,80
35415000.0,35547500.0,70,86
35727500.0,35835000.0,72,74
35925000.0,36017500.0,75,102
36225000.0,36317500.0,72,81
36502500.0,36572500.0,68,90
36632500.0,36725000.0,67,40
36792500.0,36855000.0,70,94
36917500.0,37042500.0,68,64
37110000.0,37852500.0,67,81
38027500.0,38097500.0,70,98
38145000.0,38272500.0,68,68
38342500.0,39819999.99999999,67,80
78937500.0,79039999.99999999,76,81
79117500.0,79202500.0,79,90
79395000.0,79542500.0,74,84
79695000.0,79820000.0,72,97
79810000.00000001,79935000.0,71,60
79995000.0,80120000.0,72,88
80110000.00000001,80235000.0,74,51
80290000.0,80415000.0,76,90
80405000.0,80542500.0,75,96
80592500.0,80717500.0,67,57
80702500.0,80827500.0,70,75
80907500.0,81032500.0,74,88
81040000.0,81165000.0,72,53
81345000.0,81465000.0,74,98
81535000.00000001,81677500.0,77,87
81810000.0,81950000.0,72,79
82112500.0,82237500.0,70,104
82225000.0,82350000.0,69,60
82387500.0,82460000.0,70,94
82510000.00000001,82630000.0,72,50
82685000.0,82810000.00000001,74,74
82802500.0,82927500.0,73,95
82990000.0,83115000.0,65,74
83112500.0,83237500.0,68,75
83295000.0,83420000.0,72,85
83415000.0,83560000.00000001,70,81
83735000.0,83862500.0,72,93
83935000.00000001,84062500.0,75,100
84214999.99999999,84317500.0,72,85
84505000.0,84630000.0,68,101
84630000.0,84752500.0,67,55
84817500.0,84892500.0,70,96
84940000.0,85057500.0,68,84
85130000.0,85910000.0,67,84
86027500.0,86097500.0,70,101
86145000.0,86282500.0,68,64
86340000.0,87697500.0,67,86
88520000.0,88645000.0,76,86
88717500.0,88862500.0,79,90
89010000.0,89167500.0,74,90
89300000.0,89425000.0,72,91
89440000.0,89565000.0,71,60
89590000.0,89652499.99999999,72,91
89707500.0,89832500.0,74,65
89882500.0,90007500.0,76,93
90005000.0,90130000.0,75,96
90197500.00000001,90322500.0,67,69
90315000.0,90439999.99999999,70,75
90512500.0,90650000.0,74,86
90635000.0,90780000.0,72,70
90952500.0,91052500.0,74,86
91140000.0,91300000.0,77,81
91420000.0,91557500.0,72,84
91705000.0,91775000.0,70,98
91825000.0,91925000.0,69,56
91985000.0,92077500.0,70,98
92122500.0,92215000.0,72,50
92280000.0,92347500.0,74,98
92405000.0,92522500.00000001,73,86
92605000.0,92685000.0,65,56
92720000.0,92827500.0,68,80
92905000.0,92962500.0,72,88
93027499.99999999,93160000.00000001,70,85
93327499.99999999,93457500.0,72,76
93527500.0,93660000.0,75,101
93812500.0,94007500.0,72,85
94112500.0,94187500.0,68,96
94230000.0,94337500.0,67,51
94405000.0,94485000.0,70,96
94527499.99999999,94657500.0,68,72
94720000.0,95492500.0,67,78
95630000.0,95702500.0,70,101
95737500.0,95880000.0,68,61
95945000.0,97630000.0,67,84
98005000.0,98075000.0,69,88
98120000.0,98232500.0,71,82
98307500.0,99135000.0,72,91
99325000.0,99457500.0,74,88
99535000.00000001,100345000.0,76,94
100517500.0,100672500.0,74,85
100740000.0,101622500.0,72,88
101710000.00000001,101727499.99999999,75,96
101717500.0,101910000.0,76,88
101930000.0,102910000.00000001,69,79
102920000.0,103102500.0,71,79
103137500.0,104120000.0,72,82
104122500.0,104317500.0,74,78
104350000.0,105327499.99999999,76,72
105330000.0,105505000.0,77,79
105530000.0,106070000.0,79,86
106215000.0,106367500.0,79,86
106417500.0,106485000.0,76,59
106515000.0,106617500.0,77,65
106695000.0,107525000.0,79,88
107732500.0,107822500.00000001,76,81
107932500.0,108080000.0,79,86
108222500.0,108372500.0,74,85
108520000.0,108595000.0,72,83
108645000.0,108735000.0,71,52
108795000.0,108860000.0,72,87
108920000.0,109002499.99999999,74,72
109072500.0,109140000.0,76,75
109205000.0,109300000.0,75,87
109400000.0,109455000.0,67,49
109507500.0,109620000.0,70,84
109692500.0,109757500.0,74,82
109817500.0,109960000.00000001,72,75
110142500.0,110252500.0,74,90
110340000.0,110445000.0,77,83
110617500.0,110805000.0,72,84
110922500.0,110989999.99999999,70,95
