Beat,Position,Pitch,Type
4.0,0,0,1
7.0,0,75,5
7.666666666666667,1,78,5
8.0,2,0,1
8.666666666666666,2,73,5
9.666666666666666,3,71,5
10.0,4,70,5
10.666666666666666,5,71,5
11.0,6,73,5
11.666666666666666,7,75,5
12.0,8,74,5
12.666666666666666,9,66,5
13.0,10,69,5
13.666666666666666,11,73,5
14.0,12,71,0
15.0,13,73,5
15.666666666666666,14,76,5
16.0,15,0,1
16.666666666666668,15,71,5
17.666666666666668,16,69,5
18.0,17,68,5
18.666666666666668,18,69,5
19.0,19,71,5
19.666666666666668,20,73,5
20.0,21,72,0
20.0,22,71,3
20.666666666666668,23,64,5
21.0,24,67,5
21.666666666666668,25,71,5
22.0,26,69,0
23.0,27,71,5
23.666666666666668,28,74,5
24.0,29,0,1
24.666666666666668,29,71,5
25.666666666666668,30,67,5
26.0,31,66,5
26.666666666666668,32,69,5
27.0,33,67,5
27.666666666666668,34,66,5
30.666666666666668,35,69,5
31.0,36,67,5
31.666666666666668,37,66,5
36.0,38,0,1
39.0,38,75,5
39.666666666666664,39,78,5
40.0,40,0,1
40.666666666666664,40,73,5
41.666666666666664,41,71,5
42.0,42,70,5
42.666666666666664,43,71,5
43.0,44,73,5
43.666666666666664,45,75,5
44.0,46,74,5
44.666666666666664,47,66,5
45.0,48,69,5
45.666666666666664,49,73,5
46.0,50,71,0
47.0,51,73,5
47.666666666666664,52,76,5
48.0,53,0,1
48.666666666666664,53,71,5
49.666666666666664,54,69,5
50.0,55,68,5
50.666666666666664,56,69,5
51.0,57,71,5
51.666666666666664,58,73,5
52.0,59,72,5
52.666666666666664,60,64,5
53.0,61,67,5
53.666666666666664,62,71,5
54.0,63,69,0
55.0,64,71,5
55.666666666666664,65,74,5
56.0,66,0,1
56.666666666666664,66,71,5
57.666666666666664,67,67,5
58.0,68,66,5
58.666666666666664,69,69,5
59.0,70,67,5
59.666666666666664,71,66,5
62.666666666666664,72,69,5
63.0,73,67,5
63.666666666666664,74,66,5
68.0,75,0,1
70.66666666666667,75,68,5
71.0,76,70,5
71.66666666666667,77,71,5
75.0,78,73,5
75.66666666666667,79,75,5
79.0,80,73,5
79.66666666666667,81,71,5
83.0,82,74,2
83.0,83,75,5
83.66666666666667,84,68,5
87.0,85,70,5
87.66666666666667,86,71,5
91.0,87,73,5
91.66666666666667,88,75,5
95.0,89,76,5
95.66666666666667,90,78,5
98.0,91,78,5
98.66666666666667,92,75,5
99.0,93,76,5
99.66666666666667,94,78,5
103.0,95,75,5
103.66666666666667,96,78,5
104.0,97,0,1
104.66666666666667,97,73,5
105.66666666666667,98,71,5
106.0,99,70,5
106.66666666666667,100,71,5
107.0,101,73,5
107.66666666666667,102,75,5
108.0,103,74,5
108.66666666666667,104,66,5
109.0,105,69,5
109.66666666666667,106,73,5
110.0,107,71,0
111.0,108,73,5
111.66666666666667,109,76,5
112.0,110,0,1
112.66666666666667,110,71,5
113.66666666666667,111,69,5
114.0,112,68,5
114.66666666666667,113,69,5
115.0,114,71,5
115.66666666666667,115,73,5
116.0,116,72,5
116.66666666666667,117,64,5
117.0,118,67,5
117.66666666666667,119,71,5
118.0,120,69,0
119.0,121,71,5
119.66666666666667,122,74,5
120.0,123,0,1
120.66666666666667,123,71,5
121.66666666666667,124,67,5
122.0,125,66,5
122.66666666666667,126,69,5
123.0,127,67,5
123.66666666666667,128,66,5
126.66666666666667,129,69,5
127.0,130,67,5
127.66666666666667,131,66,5
132.0,132,0,4
