Beat,Position,Pitch,Type
0.0,0,0,1
0.6666666666666666,0,63,5
1.0,1,65,5
1.6666666666666665,2,63,5
2.0,3,70,5
2.6666666666666665,4,70,5
4.0,5,65,0
4.666666666666667,6,67,0
5.333333333333333,7,65,0
6.0,8,72,0
8.0,9,0,1
8.666666666666666,9,70,5
9.0,10,72,5
9.666666666666666,11,70,5
10.0,12,75,5
10.666666666666666,13,75,5
11.666666666666666,14,74,5
12.0,15,77,0
12.666666666666666,16,75,0
13.333333333333334,17,72,0
14.0,18,67,0
14.333333333333334,19,66,0
14.666666666666666,20,65,0
16.0,21,0,1
16.666666666666668,21,63,5
17.0,22,65,5
17.666666666666668,23,63,5
18.0,24,70,5
18.666666666666668,25,70,5
20.0,26,65,0
20.666666666666668,27,67,0
21.333333333333332,28,65,0
22.0,29,72,0
23.0,30,70,5
23.666666666666668,31,67,5
30.0,32,0,1
32.666666666666664,32,63,5
33.0,33,65,5
33.666666666666664,34,63,5
34.0,35,70,5
34.666666666666664,36,70,5
36.0,37,65,5
36.666666666666664,38,67,5
37.0,39,65,5
37.666666666666664,40,72,5
40.0,41,0,1
40.666666666666664,41,70,5
41.0,42,72,5
41.666666666666664,43,70,5
42.0,44,75,5
42.666666666666664,45,75,5
43.666666666666664,46,74,5
44.0,47,77,0
44.666666666666664,48,75,0
45.333333333333336,49,72,0
46.0,50,67,0
46.333333333333336,51,66,0
46.666666666666664,52,65,0
48.0,53,0,1
48.666666666666664,53,63,5
49.0,54,65,5
49.666666666666664,55,63,5
50.0,56,70,5
50.666666666666664,57,70,5
52.0,58,65,5
52.666666666666664,59,67,5
53.0,60,65,5
53.666666666666664,61,72,5
55.0,62,70,5
55.666666666666664,63,63,5
62.0,64,0,1
64.66666666666667,64,75,5
65.66666666666667,65,72,5
66.0,66,75,5
66.66666666666667,67,72,5
68.0,68,0,1
68.66666666666667,68,75,5
69.66666666666667,69,72,5
70.0,70,75,5
70.66666666666667,71,72,5
72.0,72,0,1
72.66666666666667,72,75,5
73.66666666666667,73,72,5
74.0,74,75,5
74.66666666666667,75,72,5
76.0,76,0,1
76.66666666666667,76,76,5
77.66666666666667,77,72,5
78.0,78,76,5
78.66666666666667,79,72,5
80.66666666666667,80,77,5
82.0,81,77,0
83.0,82,77,0
84.0,83,77,0
85.0,84,75,0
86.0,85,74,0
87.0,86,72,5
87.66666666666667,87,70,5
90.0,88,71,2
90.0,89,72,0
92.0,90,66,2
92.0,91,67,0
93.66666666666667,92,65,5
96.0,92,0,1
96.66666666666667,93,63,5
97.0,94,65,5
97.66666666666667,95,63,5
98.0,96,70,5
98.66666666666667,97,70,5
100.0,98,65,5
100.66666666666667,99,67,5
101.0,100,65,5
101.66666666666667,101,72,5
104.0,102,0,1
104.66666666666667,102,70,5
105.0,103,72,5
105.66666666666667,104,70,5
106.0,105,75,5
106.66666666666667,106,75,5
107.66666666666667,107,74,5
108.0,108,77,0
108.66666666666667,109,75,0
109.33333333333333,110,72,0
110.0,111,67,0
110.33333333333333,112,66,0
110.66666666666667,113,65,0
112.0,114,0,1
112.66666666666667,114,63,5
113.0,115,65,5
113.66666666666667,116,63,5
114.0,117,70,5
114.66666666666667,118,70,5
116.0,119,65,5
116.66666666666667,120,67,5
117.0,121,65,5
117.66666666666667,122,72,5
119.0,123,70,5
119.66666666666667,124,75,5
124.0,125,0,1
128.0,125,0,4
