On,Off,Pitch,Velocity
2627500.0,2732499.9999999995,63,115
2722500.0,2927500.0,65,97
2927500.0,3002500.0,63,91
3025000.0,3182499.9999999995,70,116
3237500.0,3537500.0,70,114
3620000.0,3812500.0,65,104
3835000.0,4025000.0,67,103
4015000.0,4210000.0,65,106
4210000.0,4830000.0,72,106
5017500.0,5095000.0,70,120
5115000.0,5267500.0,72,100
5322500.0,5362500.0,70,98
5425000.0,5572500.0,75,122
5637500.0,5842500.0,75,123
5935000.000000001,5985000.0,74,67
6015000.0,6167500.0,77,114
6220000.0,6412500.0,75,115
6410000.0,6560000.0,72,99
6635000.0,6755000.0,67,94
6745000.0,6842500.0,66,108
6837500.0,7317500.0,65,101
7430000.0,7537500.0,63,119
7535000.0,7712500.0,65,88
7725000.0,7807500.0,63,97
7830000.0,7972500.0,70,108
8037500.0,8357500.0,70,116
8425000.0,8607500.0,65,98
8625000.0,8820000.0,67,99
8807500.0,9015000.0,65,88
9005000.0,9162500.0,72,105
9310000.0,9467500.0,70,115
9520000.0,11960000.0,67,109
12215000.0,12335000.0,63,110
12325000.0,12550000.0,65,93
12522500.0,12617499.999999998,63,98
12625000.0,12785000.0,70,107
12847500.0,13195000.0,70,105
13225000.0,13420000.0,65,103
13435000.0,13567500.0,67,102
13547500.0,13732500.0,65,102
13735000.0,14592500.0,72,108
14620000.0,14732500.0,70,112
14730000.0,14915000.0,72,86
14930000.0,14982500.000000002,70,77
15015000.0,15190000.0,75,116
15240000.0,15402500.0,75,118
15517500.0,15579999.999999998,74,89
15612500.0,15802500.0,77,110
15822500.0,16022500.0,75,110
16015000.0,16162500.0,72,99
16237500.0,16342500.0,67,92
16335000.0,16437500.0,66,103
16432500.0,16895000.0,65,102
17022500.0,17097500.0,63,119
17120000.0,17275000.0,65,67
17307500.0,17405000.0,63,88
17420000.0,17562500.0,70,114
17630000.0,17962500.0,70,110
18020000.0,18207500.0,65,104
18232500.0,18335000.0,67,74
18312500.0,18512500.0,65,100
18527500.0,18895000.0,72,109
18910000.0,19110000.0,70,107
19137500.0,21272500.0,63,104
21845000.0,21977500.000000004,75,122
22130000.0,22225000.0,72,90
22230000.0,22435000.0,75,116
22450000.0,22890000.0,72,104
23035000.0,23187500.0,75,120
23322499.999999996,23412500.0,72,98
23430000.0,23637500.0,75,121
23642500.0,23937500.0,72,110
24237500.0,24360000.0,75,121
24525000.0,24634999.999999996,72,102
24630000.0,24827500.000000004,75,116
24837500.0,25195000.0,72,101
25430000.0,25572499.999999996,76,117
25725000.0,25782500.0,72,49
25812500.0,26027500.000000004,76,111
26040000.0,26310000.0,72,108
26635000.0,26930000.0,77,116
27025000.0,27192500.0,77,108
27312500.0,27487500.0,77,104
27615000.0,27784999.999999996,77,104
27905000.0,28065000.0,75,115
28222500.0,28377500.0,74,116
28520000.0,28702500.0,72,111
28732500.0,29330000.0,70,113
29402500.000000004,29477500.000000004,71,103
29432500.0,29892500.0,72,95
30012500.0,30065000.0,66,121
30057500.0,30535000.0,67,102
30537500.0,31217500.0,65,105
31425000.0,31530000.0,63,119
31520000.0,31725000.0,65,99
31737500.0,31820000.0,63,76
31834999.999999996,31990000.000000004,70,113
32052500.0,32400000.0,70,114
32422500.0,32610000.0,65,108
32627500.000000004,32742500.0,67,101
32725000.0,32937500.0,65,90
32942500.0,33645000.0,72,114
33825000.0,33922500.0,70,121
33930000.0,34120000.0,72,65
34122500.0,34187500.0,70,88
34235000.0,34380000.0,75,121
34452500.0,34615000.0,75,116
34712500.0,34785000.0,74,102
34820000.0,34985000.0,77,111
35017500.0,35177500.0,75,105
35202500.0,35352500.0,72,106
35422500.0,35542500.0,67,84
35522500.0,35615000.0,66,97
35612500.0,36052500.0,65,104
36230000.0,36335000.0,63,116
36332500.0,36537500.0,65,85
36527500.0,36600000.0,63,93
36620000.0,36782500.0,70,111
36845000.0,37162500.0,70,117
37230000.0,37410000.0,65,96
37427500.0,37540000.0,67,105
37532500.0,37695000.0,65,91
37715000.0,38090000.0,72,110
38112500.0,38305000.0,70,103
38330000.0,40580000.00000001,75,114
