Beat,Position,Pitch,Type
0.0,0,0,1
1.0,0,65,0
1.3333333333333333,1,67,0
1.6666666666666665,2,65,0
2.0,3,60,5
2.6666666666666665,4,65,5
3.0,5,68,5
3.6666666666666665,6,72,5
4.0,7,66,0
5.0,8,75,0
7.0,9,73,5
7.666666666666667,10,72,5
8.0,11,0,1
9.666666666666666,11,60,5
10.0,12,65,0
11.0,13,67,5
11.666666666666666,14,69,5
13.666666666666666,15,69,5
14.0,16,70,0
15.0,17,72,0
16.0,18,0,1
17.0,18,70,0
17.333333333333332,19,72,0
17.666666666666668,20,70,0
18.0,21,65,5
18.666666666666668,22,70,5
19.0,23,73,5
19.666666666666668,24,77,5
20.0,25,71,0
21.0,26,80,0
23.0,27,78,5
23.666666666666668,28,77,5
25.666666666666668,29,65,5
26.0,30,70,0
27.0,31,72,5
27.666666666666668,32,74,5
30.0,33,0,1
32.0,33,77,0
36.0,34,79,0
37.0,35,79,0
39.0,36,77,5
39.666666666666664,37,76,5
44.0,38,78,0
45.0,39,78,0
47.333333333333336,40,76,0
47.666666666666664,41,75,0
52.0,42,77,0
53.0,43,77,0
55.0,44,75,5
55.666666666666664,45,74,5
63.0,46,0,1
64.0,46,73,0
68.0,47,75,0
69.0,48,75,0
71.0,49,73,5
71.66666666666667,50,72,5
79.0,51,0,1
81.0,51,65,0
81.33333333333333,52,67,0
81.66666666666667,53,65,0
82.0,54,60,5
82.66666666666667,55,65,5
83.0,56,68,5
83.66666666666667,57,72,5
84.0,58,66,0
85.0,59,75,0
87.0,60,73,0
88.0,61,72,0
89.66666666666667,62,60,5
90.0,63,65,0
91.0,64,67,5
91.66666666666667,65,69,5
93.66666666666667,66,69,5
94.0,67,70,0
95.0,68,72,0
96.0,69,0,1
97.0,69,70,0
97.33333333333333,70,72,0
97.66666666666667,71,70,0
98.0,72,65,5
98.66666666666667,73,70,5
99.0,74,73,5
99.66666666666667,75,77,5
100.0,76,71,0
101.0,77,80,0
103.0,78,78,5
103.66666666666667,79,77,5
105.66666666666667,80,65,5
106.0,81,70,0
107.0,82,72,5
107.66666666666667,83,74,5
112.0,84,77,0
116.0,85,79,0
117.0,86,79,0
119.0,87,77,5
119.66666666666667,88,76,5
120.0,89,75,0
121.66666666666667,90,72,5
122.66666666666667,91,78,5
123.66666666666667,92,76,5
124.0,93,77,0
126.0,94,70,5
126.66666666666667,95,71,5
128.0,96,72,0
129.66666666666666,97,68,5
130.66666666666666,98,65,5
131.0,99,70,0
132.66666666666666,100,68,5
133.66666666666666,101,65,5
134.0,102,64,0
135.66666666666666,103,62,5
136.0,104,63,5
136.66666666666666,105,68,5
138.0,105,0,1
140.0,105,0,1
144.0,105,0,4
