On,Off,Pitch,Velocity
260416.6666666667,347916.6666666666,65,60
339583.3333333334,427083.3333333333,67,59
420833.3333333333,518750.00000000006,65,53
512499.99999999994,654166.6666666666,60,43
660416.6666666666,754166.6666666666,65,62
764583.3333333333,872916.6666666666,68,67
906250.0,1024999.9999999999,72,67
1016666.6666666666,1137500.0,66,76
1260416.6666666667,1775000.0,75,71
1760416.6666666667,1927083.3333333333,73,75
1929166.6666666667,2387500.0,72,51
2422916.6666666665,2522916.6666666665,60,32
2512500.0,2762500.0,65,65
2762500.0,2935416.666666667,67,56
2935416.666666667,3383333.3333333335,69,52
3425000.0,3500000.0,69,51
3514583.3333333335,3739583.3333333335,70,72
3758333.3333333335,4133333.333333334,72,53
4258333.333333334,4333333.333333333,70,75
4337500.0,4435416.666666667,72,52
4420833.333333333,4502083.333333333,70,61
4508333.333333334,4647916.666666666,65,52
4650000.0,4789583.333333334,70,80
4758333.333333334,4879166.666666666,73,79
4906250.0,5031250.0,77,67
5016666.666666667,5262500.0,71,78
5262500.0,5777083.333333334,80,77
5762500.0,5964583.333333334,78,78
5983333.333333333,6412500.0,77,63
6418750.0,6518750.0,65,61
6512500.0,6760416.666666667,70,63
6762500.0,6945833.333333334,72,68
6935416.666666667,8002083.333333333,74,65
8010416.666666666,8950000.0,77,70
9010416.666666666,9204166.666666668,79,74
9260416.666666666,9691666.666666666,79,71
9762500.0,9895833.333333334,77,71
9927083.333333334,10927083.333333334,76,61
11012500.0,11141666.666666668,78,84
11260416.666666666,11783333.333333334,78,84
11812500.0,11970833.333333334,76,73
11981250.0,12960416.666666668,75,80
13012500.0,13181250.0,77,60
13258333.333333332,13731250.0,77,75
13770833.333333334,13922916.666666668,75,81
13985416.666666668,15670833.333333332,74,78
16008333.333333332,16968750.0,73,81
17014583.333333336,17156250.0,75,86
17262500.0,17687500.0,75,81
17762500.0,17914583.333333332,73,78
17979166.666666668,19579166.666666664,72,72
20260416.666666668,20333333.333333332,65,78
20337500.0,20425000.0,67,58
20416666.666666668,20506250.0,65,65
20512500.0,20618750.0,60,55
20658333.333333336,20754166.666666668,65,72
20762500.0,20862500.0,68,71
20908333.333333336,21022916.666666668,72,71
21016666.666666664,21202083.333333336,66,76
21260416.666666668,21720833.333333336,75,85
21766666.666666664,21925000.0,73,77
21981250.0,22427083.333333332,72,69
22416666.666666668,22504166.666666668,60,54
22514583.333333336,22750000.0,65,59
22764583.333333336,22935416.666666664,67,65
22937500.0,23347916.666666668,69,58
23420833.333333336,23539583.333333332,69,66
23564583.333333336,23760416.666666668,70,69
23758333.333333332,24110416.666666664,72,70
24262500.0,24339583.333333332,70,84
24343750.0,24437500.0,72,65
24427083.333333332,24506250.0,70,68
24512500.0,24616666.666666668,65,61
24645833.333333332,24754166.666666668,70,84
24756250.0,24875000.0,73,81
24900000.0,25012500.0,77,73
25008333.333333332,25266666.666666664,71,71
25260416.666666668,25752083.333333336,80,81
25764583.333333336,25939583.333333336,78,80
25981250.0,26429166.666666668,77,54
26425000.0,26518750.0,65,66
26514583.333333336,26766666.666666664,70,77
26762500.0,26927083.333333332,72,63
26927083.333333332,27720833.333333336,74,71
28008333.333333332,28968750.0,77,76
29014583.333333336,29187500.0,79,76
29264583.333333336,29775000.0,79,72
29764583.333333336,29872916.666666664,77,79
29916666.666666668,30020833.333333332,76,66
30064583.333333336,30462500.0,75,81
30433333.333333332,30668750.0,72,76
30677083.333333332,30847916.666666668,78,72
30918750.0,31006250.0,76,77
31014583.333333336,31420833.333333336,77,62
31508333.333333332,31675000.0,70,77
31747916.666666664,31908333.333333336,71,70
32010416.666666664,32375000.0,72,77
32431250.0,32612499.999999996,68,79
32677083.333333336,32743750.0,65,69
32770833.333333336,33125000.0,70,82
33231250.000000004,33356250.000000004,68,75
33424999.999999996,33522916.666666668,65,77
33562500.0,33847916.66666667,64,73
33933333.33333333,34016666.666666664,62,74
