On,Off,Pitch,Velocity
0.0,3478260.0,72,85
3478260.0,6086955.0,77,93
6086955.0,6956520.0,72,71
6956520.0,7826085.0,71,77
7826085.0,8695650.0,71,80
8695650.0,9565215.0,71,80
9565215.0,10434780.0,71,82
10434780.0,11304345.0,71,85
11304345.0,13043475.0,76,90
13043475.0,13913040.0,71,71
13913040.0,14782605.0,69,74
14782605.0,15652170.0,69,78
15652170.0,16521735.0,69,78
16521735.0,17391300.0,69,81
17391300.0,18260865.0,69,84
18260865.0,19999995.0,75,93
19999995.0,20869560.0,69,70
20869560.0,26086950.0,68,77
27826080.0,31304340.0,67,75
31304340.0,33913035.0,72,93
33913035.0,34782600.0,67,71
34782600.0,35652165.0,66,79
35652165.0,36521730.0,66,79
36521730.0,37391295.0,66,79
37391295.0,38260860.0,66,81
38260860.0,39130425.0,66,83
39130425.0,40869555.0,71,91
40869555.0,41739120.0,66,71
41739120.0,42608685.0,64,77
42608685.0,43478250.0,64,77
43478250.0,44347815.0,64,80
44347815.0,45217380.0,64,79
45217380.0,46086945.0,64,84
46086945.0,46608684.0,66,87
46608684.0,46956510.0,67,86
46956510.0,47826075.0,66,76
47826075.0,48695640.0,64,75
48695640.0,53043465.0,63,76
53043465.0,53913030.0,66,84
53913030.0,54782595.0,71,91
54782595.0,55652160.0,78,95
55652160.0,57391290.0,78,83
57391290.0,58260855.0,76,75
58260855.0,59999985.0,76,80
59999985.0,60869550.0,67,63
60869550.0,61739115.0,68,80
61739115.0,62608680.0,76,95
62608680.0,66956505.0,75,80
66956505.0,67826070.0,66,62
67826070.0,68695635.0,71,89
68695635.0,69565200.0,75,88
69565200.0,71304330.0,75,83
71304330.0,72173895.0,73,74
72173895.0,73913025.0,73,81
73913025.0,74782590.0,62,60
74782590.0,75652155.0,63,81
75652155.0,76521720.0,73,97
76521720.0,82608675.0,72,82
83478240.0,86956500.0,72,72
86956500.0,89565195.0,77,90
89565195.0,90434760.0,72,69
90434760.0,91304325.0,71,80
91304325.0,92173890.0,71,80
92173890.0,93043455.0,71,79
93043455.0,93913020.0,71,79
93913020.0,94782585.0,71,84
94782585.0,96521715.0,76,89
96521715.0,97391280.0,71,73
97391280.0,100869540.0,69,77
100869540.0,103478235.0,79,103
103478235.0,104347800.0,77,76
104347800.0,105217365.0,67,65
105217365.0,106086930.0,67,76
106086930.0,106663016.8125,67,80
106663016.8125,107244538.40625,67,82
107244538.40625,107826060.0,67,81
107826060.0,110434755.0,71,89
110434755.0,111304320.0,69,77
111304320.0,112173885.0,65,73
112173885.0,113043450.0,65,79
113043450.0,113913015.0,69,90
113913015.0,114782580.0,72,88
114782580.0,116521710.0,81,102
116521710.0,118260840.0,71,65
118260840.0,121739100.0,72,83
