Beat,Position,Pitch,Type
8.0,0,65,5
8.666666666666666,1,64,5
9.0,2,65,5
9.666666666666666,3,60,5
10.0,4,0,1
11.0,4,69,5
11.666666666666666,5,68,5
12.0,6,69,5
12.666666666666666,7,60,5
13.0,8,0,1
13.666666666666666,8,64,5
14.666666666666666,9,67,5
15.0,10,65,5
15.666666666666666,11,60,5
16.0,12,67,5
16.666666666666668,13,65,5
17.0,14,69,5
17.666666666666668,15,70,5
18.0,16,69,5
18.666666666666668,17,65,5
19.0,18,67,5
19.666666666666668,19,63,5
20.0,20,0,1
20.666666666666668,20,74,5
22.0,21,0,1
22.666666666666668,21,73,5
23.666666666666668,22,65,5
24.0,23,71,0
25.666666666666668,24,77,5
26.0,25,0,1
26.666666666666668,25,71,5
27.0,26,70,0
28.0,27,0,1
29.666666666666668,27,68,5
30.666666666666668,28,65,5
31.0,29,67,5
31.666666666666668,30,65,5
32.0,31,72,0
33.0,32,0,1
33.666666666666664,32,69,5
34.0,33,70,0
35.0,34,0,1
35.666666666666664,34,69,5
36.0,35,72,0
37.0,36,72,0
38.666666666666664,37,69,5
39.0,38,70,5
39.666666666666664,39,72,5
40.0,40,69,5
40.666666666666664,41,67,5
41.0,42,65,5
41.666666666666664,43,64,5
42.0,44,65,0
43.666666666666664,45,72,5
44.0,46,70,0
45.0,46,0,1
45.666666666666664,47,77,5
46.666666666666664,48,72,5
47.0,49,75,5
47.666666666666664,50,77,5
48.0,51,0,1
49.666666666666664,51,72,5
50.0,52,72,0
51.0,53,0,1
51.666666666666664,53,69,5
52.0,54,70,5
52.666666666666664,55,69,5
53.0,56,65,5
53.666666666666664,57,62,5
54.0,58,69,5
54.666666666666664,59,69,5
56.0,60,65,5
56.666666666666664,61,64,5
57.0,62,65,5
57.666666666666664,63,60,5
58.0,64,0,1
59.0,64,69,5
59.666666666666664,65,68,5
60.0,66,69,5
60.666666666666664,67,60,5
61.0,68,0,1
61.666666666666664,68,64,5
62.666666666666664,69,67,5
63.0,70,65,5
63.666666666666664,71,60,5
64.0,72,67,5
64.66666666666667,73,65,5
65.0,74,69,5
65.66666666666667,75,70,5
66.0,76,69,5
66.66666666666667,77,65,5
67.0,78,67,5
67.66666666666667,79,63,5
68.0,80,0,1
68.66666666666667,80,74,5
70.0,81,0,1
70.66666666666667,81,73,5
71.66666666666667,82,65,5
72.0,83,71,0
73.66666666666667,84,77,5
74.0,85,0,1
74.66666666666667,85,71,5
75.0,86,70,0
76.0,87,0,1
77.66666666666667,87,68,5
78.66666666666667,88,65,5
79.0,89,67,5
79.66666666666667,90,65,5
80.0,91,72,0
81.0,92,0,1
81.66666666666667,92,69,5
82.0,93,70,0
83.0,94,0,1
83.66666666666667,94,69,5
84.0,95,72,0
85.0,96,72,0
86.0,97,0,1
86.66666666666667,97,69,5
87.0,98,70,5
87.66666666666667,99,72,5
88.0,100,69,5
88.66666666666667,101,67,5
89.0,102,65,5
89.66666666666667,103,64,5
90.0,104,65,0
91.0,105,0,1
91.66666666666667,105,72,5
92.0,106,70,0
93.0,107,0,1
93.66666666666667,107,77,5
94.66666666666667,108,72,5
95.0,109,75,5
95.66666666666667,110,77,5
96.0,111,0,1
97.66666666666667,111,72,5
98.0,112,72,0
99.66666666666667,113,69,5
100.0,114,70,5
100.66666666666667,115,69,5
101.0,116,65,5
101.66666666666667,117,62,5
102.0,118,69,5
102.66666666666667,119,69,5
104.0,120,0,4
