On,Off,Pitch,Velocity
2412500.0,2582499.9999999995,65,76
2602500.0,2692500.0,64,71
2712500.0,2897500.0,65,74
2912500.0,3017500.0,60,75
3322500.0,3487500.0,69,95
3510000.0,3600000.0,68,46
3630000.0,3750000.0,69,98
3827500.0,3940000.0,60,69
4102500.0,4205000.0,64,97
4422500.0,4507500.0,67,56
4525000.0,4697500.0,65,61
4720000.0,4795000.0,60,72
4800000.0,4970000.0,67,58
4995000.0,5092500.0,65,75
5132500.0,5280000.0,69,76
5312500.0,5392500.0,70,72
5425000.0,5575000.0,69,74
5607500.0,5692500.0,65,71
5712500.0,5817500.0,67,70
5890000.0,6000000.0,63,71
6190000.0,6265000.0,74,74
6800000.0,6872500.000000001,73,73
7112500.0,7200000.0,65,74
7232500.0,7382500.0,71,72
7700000.0,7795000.0,77,69
8025000.0,8089999.999999999,71,75
8112500.0,8377500.0,70,74
8875000.0,9172500.0,68,70
9197500.0,9262500.0,65,83
9290000.0,9475000.0,67,57
9495000.0,9607500.0,65,92
9610000.0,9727500.0,72,92
10097500.0,10172500.0,69,75
10190000.0,10295000.000000002,70,76
10717500.0,10795000.0,69,75
10810000.0,10912500.0,72,70
11105000.0,11205000.0,72,72
11600000.0,11692500.0,69,86
11707500.0,11805000.0,70,72
11897500.0,11979999.999999998,72,73
12012500.0,12150000.0,69,75
12185000.0,12267500.0,67,71
12285000.0,12447500.0,65,72
12475000.0,12565000.0,64,71
12579999.999999998,12710000.0,65,71
13067499.999999998,13147500.0,72,68
13195000.0,13404999.999999998,70,73
13692500.0,13862500.0,77,68
14015000.0,14102500.0,72,76
14115000.0,14272500.0,75,73
14302500.0,14385000.0,77,74
14900000.0,14967500.0,72,74
14990000.0,15145000.0,72,75
15492500.0,15579999.999999998,69,57
15592500.0,15772500.0,70,79
15800000.0,15930000.0,69,60
15917499.999999998,16104999.999999998,65,80
16112500.0,16200000.0,62,80
16210000.0,16347500.0,69,81
16407500.000000002,16525000.0,69,73
16812500.0,16982500.0,65,76
17002500.0,17092500.0,64,71
17112500.0,17297500.0,65,74
17312500.0,17417500.0,60,75
17722500.0,17887500.0,69,95
17910000.0,18000000.0,68,46
18030000.0,18150000.0,69,98
18227500.0,18340000.0,60,69
18502500.0,18605000.0,64,97
18822500.0,18907500.0,67,56
18925000.0,19097500.0,65,61
19120000.0,19195000.0,60,72
19200000.0,19370000.0,67,58
19395000.0,19492500.0,65,75
19532500.0,19680000.0,69,76
19712500.0,19792500.0,70,72
19825000.0,19975000.0,69,74
20007500.0,20092500.0,65,71
20112500.0,20217500.0,67,70
20290000.000000004,20400000.0,63,71
20590000.000000004,20665000.000000004,74,74
21200000.0,21272500.0,73,73
21512500.0,21600000.0,65,74
21632500.0,21782500.0,71,72
22100000.0,22195000.0,77,69
