Beat,Position,Pitch,Type
32.0,0,0,1
35.0,0,64,0
36.0,1,72,0
39.0,2,71,0
39.5,3,69,0
40.0,4,69,0
43.0,5,68,0
43.5,6,71,0
44.0,7,64,0
51.0,8,64,0
52.0,9,72,0
54.666666666666664,10,71,5
55.5,11,69,0
56.0,12,69,0
59.0,13,67,0
59.5,14,71,0
60.0,15,64,0
66.0,16,0,1
66.5,16,64,0
67.33333333333333,17,65,0
67.66666666666667,18,67,0
68.0,19,69,0
69.5,20,62,0
70.0,21,62,0
74.0,22,0,1
74.5,22,62,0
75.0,23,64,0
75.5,24,65,0
76.0,25,67,0
77.5,26,60,0
78.0,27,60,0
82.0,28,0,1
82.5,28,60,0
83.33333333333333,29,62,0
83.66666666666667,30,64,0
84.0,31,65,0
85.5,32,59,0
86.0,33,59,0
90.0,34,0,1
90.5,34,59,0
91.0,35,60,0
91.5,36,62,0
92.0,37,64,0
99.0,38,64,0
100.0,39,72,0
103.0,40,71,0
103.5,41,69,0
104.0,42,69,0
106.5,43,68,0
107.5,44,71,0
108.0,45,64,0
115.0,46,64,0
116.0,47,70,0
119.0,48,69,0
119.5,49,67,0
120.0,50,67,0
123.0,51,65,0
123.5,52,64,0
124.0,53,69,0
132.0,54,62,0
134.5,55,62,0
135.0,56,64,0
135.5,57,65,0
136.0,58,71,0
140.0,59,0,1
141.0,59,60,0
141.5,60,60,0
142.0,61,60,0
143.33333333333334,62,62,0
143.66666666666666,63,64,0
144.0,64,69,0
147.5,65,68,0
148.0,66,64,0
152.0,67,0,1
154.5,67,64,0
155.33333333333334,68,68,0
155.66666666666666,69,71,0
156.0,70,69,0
160.0,71,0,4
