Beat,Position,Pitch,Type
4.0,0,0,1
7.0,0,55,0
8.0,1,67,0
9.5,2,65,0
10.0,3,63,5
10.666666666666666,4,62,5
11.666666666666666,5,60,5
15.0,6,58,0
16.0,7,56,0
18.0,8,67,0
19.666666666666668,9,65,5
24.0,10,65,0
25.666666666666668,11,63,5
26.0,12,62,5
26.666666666666668,13,60,5
27.666666666666668,14,58,5
31.0,15,56,0
32.0,16,55,0
34.0,17,65,0
35.666666666666664,18,63,5
40.0,19,63,0
41.5,20,61,0
42.0,21,60,5
42.666666666666664,22,58,5
43.666666666666664,23,56,5
47.0,24,54,0
48.0,25,54,0
49.0,26,53,5
49.666666666666664,27,58,5
50.666666666666664,28,56,5
51.666666666666664,29,56,5
55.666666666666664,30,56,5
56.0,31,56,5
56.666666666666664,32,55,5
57.666666666666664,33,58,5
59.666666666666664,34,56,5
60.0,35,56,5
60.666666666666664,36,55,5
61.666666666666664,37,58,5
63.0,38,56,5
63.666666666666664,39,55,5
71.0,40,55,0
72.0,41,67,0
73.66666666666667,42,65,5
74.0,43,63,5
74.66666666666667,44,62,5
75.66666666666667,45,60,5
79.0,46,58,0
80.0,47,56,0
82.0,48,67,0
83.66666666666667,49,65,5
88.0,50,65,0
89.66666666666667,51,63,5
90.0,52,62,5
90.66666666666667,53,60,5
91.66666666666667,54,58,5
95.0,55,56,0
96.0,56,55,0
98.0,57,65,0
99.66666666666667,58,63,5
104.0,59,63,0
105.66666666666667,60,61,5
106.0,61,60,5
106.66666666666667,62,58,5
107.66666666666667,63,56,5
111.0,64,54,0
112.0,65,54,0
113.0,66,53,5
113.66666666666667,67,58,5
114.66666666666667,68,56,5
115.66666666666667,69,56,5
119.66666666666667,70,56,5
120.0,71,56,0
121.0,72,55,5
121.66666666666667,73,58,5
123.66666666666667,74,56,5
124.0,75,56,5
124.66666666666667,76,55,5
125.66666666666667,77,58,5
127.0,78,56,5
127.66666666666667,79,55,5
136.0,80,0,4
