On,Off,Pitch,Velocity
2820000.0,3013333.3333333335,55,65
3246666.666666667,3860000.0,67,87
3796666.666666667,3996666.666666667,65,83
4023333.3333333335,4233333.333333334,63,91
4286666.666666667,4473333.333333333,62,71
4656666.666666667,6030000.0,60,79
6010000.0,6210000.0,58,92
6440000.000000001,7046666.666666667,56,88
7236666.666666666,7759999.999999999,67,79
7853333.333333333,9376666.666666666,65,91
9606666.666666666,10230000.0,65,86
10256666.666666666,10450000.0,63,82
10476666.666666666,10766666.666666668,62,75
10740000.0,10993333.333333334,60,71
11103333.333333334,12300000.0,58,76
12403333.333333334,12686666.666666666,56,89
12833333.333333334,13600000.0,55,80
13669999.999999998,14263333.333333332,65,88
14230000.000000002,15743333.333333334,63,97
16013333.333333332,16556666.666666666,63,90
16616666.666666666,16896666.666666668,61,88
16850000.0,17163333.333333332,60,57
17140000.0,17293333.333333332,58,78
17483333.333333336,18576666.666666668,56,82
18800000.0,19006666.666666668,54,78
19230000.0,19600000.0,54,87
19623333.333333332,19850000.0,53,58
19846666.666666668,20023333.333333332,58,88
20253333.333333332,20446666.666666668,56,90
20646666.666666668,22086666.666666668,56,83
22256666.666666668,22353333.333333332,56,84
22476666.666666668,22756666.666666668,56,95
22793333.333333332,22990000.0,55,74
23096666.666666668,23696666.666666668,58,86
23830000.0,23960000.0,56,80
24103333.333333332,24353333.333333332,56,88
24383333.333333336,24570000.0,55,76
24693333.333333332,25203333.333333332,58,82
25240000.0,25423333.333333332,56,77
25486666.666666668,28120000.0,55,68
28413333.333333332,28696666.666666664,55,76
28836666.666666668,29389999.999999996,67,84
29450000.0,29630000.0,65,75
29680000.0,29913333.333333332,63,89
29953333.333333336,30163333.333333332,62,68
30253333.333333336,31546666.666666664,60,70
31603333.333333336,31810000.000000004,58,85
32020000.0,32666666.666666668,56,90
32843333.333333332,33350000.0,67,74
33470000.0,34966666.66666667,65,83
35253333.333333336,35836666.666666664,65,86
35843333.333333336,36026666.666666664,63,94
36093333.333333336,36370000.0,62,57
36343333.333333336,36590000.0,60,65
36673333.333333336,37856666.666666664,58,76
38000000.0,38296666.666666664,56,90
38426666.666666664,39250000.0,55,88
39236666.666666664,39846666.666666664,65,88
39880000.0,41423333.333333336,63,90
41650000.0,42116666.66666667,63,96
42253333.333333336,42550000.0,61,88
42520000.0,42813333.333333336,60,73
42796666.666666664,43000000.0,58,81
