Beat,Position,Pitch,Type
0.0,0,62,5
0.6666666666666666,1,63,5
1.0,2,64,5
1.6666666666666665,3,65,5
4.0,4,67,5
4.666666666666667,5,68,5
5.0,6,69,5
5.666666666666667,7,70,5
8.0,8,65,5
8.666666666666666,9,67,5
9.0,10,65,5
9.666666666666666,11,64,5
10.0,12,63,5
10.666666666666666,13,53,5
11.0,14,61,5
11.666666666666666,15,62,5
12.666666666666666,16,61,5
13.0,17,60,0
16.0,18,67,5
16.666666666666668,19,68,5
17.0,20,69,5
17.666666666666668,21,70,5
20.0,22,70,5
20.666666666666668,23,71,5
21.0,24,72,5
21.666666666666668,25,73,5
24.0,26,65,5
24.666666666666668,27,67,5
25.0,28,65,5
25.666666666666668,29,64,5
26.0,30,63,5
26.666666666666668,31,53,5
27.0,32,61,5
27.666666666666668,33,62,5
31.0,34,65,0
31.333333333333332,35,65,0
31.666666666666668,36,65,0
32.0,37,64,2
32.0,38,65,0
32.5,39,52,2
32.666666666666664,40,53,5
36.0,41,65,5
36.666666666666664,42,67,5
37.0,43,65,5
37.666666666666664,44,64,5
38.0,45,63,5
38.666666666666664,46,53,5
39.0,47,61,5
39.666666666666664,48,62,5
41.0,49,65,5
41.666666666666664,50,67,5
42.0,51,65,5
42.666666666666664,52,64,5
43.0,53,63,5
43.666666666666664,54,53,5
44.0,55,61,5
44.666666666666664,56,62,5
48.0,57,62,5
48.666666666666664,58,63,5
49.0,59,64,5
49.666666666666664,60,65,5
52.0,61,67,5
52.666666666666664,62,68,5
53.0,63,69,5
53.666666666666664,64,70,5
56.0,65,65,5
56.666666666666664,66,67,5
57.0,67,65,5
57.666666666666664,68,64,5
58.0,69,63,5
58.666666666666664,70,53,5
59.0,71,61,5
59.666666666666664,72,62,5
60.666666666666664,73,61,5
61.0,74,60,0
64.0,75,67,5
64.66666666666667,76,68,5
65.0,77,69,5
65.66666666666667,78,70,5
68.0,79,70,5
68.66666666666667,80,71,5
69.0,81,72,5
69.66666666666667,82,73,5
72.0,83,65,5
72.66666666666667,84,67,5
73.0,85,65,5
73.66666666666667,86,64,5
74.0,87,63,5
74.66666666666667,88,53,5
75.0,89,61,5
75.66666666666667,90,62,5
79.0,91,64,2
79.0,92,65,0
79.33333333333333,93,65,0
79.66666666666667,94,65,0
80.0,95,65,5
80.66666666666667,96,53,5
84.0,97,65,5
84.66666666666667,98,67,5
85.0,99,65,5
85.66666666666667,100,64,5
86.0,101,63,5
86.66666666666667,102,53,5
87.0,103,61,5
87.66666666666667,104,62,5
89.0,105,65,5
89.66666666666667,106,67,5
90.0,107,65,5
90.66666666666667,108,64,5
91.0,109,63,5
91.66666666666667,110,53,5
92.0,111,61,5
92.66666666666667,112,62,5
96.0,113,0,4
