Beat,Position,Pitch,Type
240.0,0,71,0
249.0,1,74,0
250.0,2,74,0
251.0,3,71,0
252.0,4,71,0
253.0,5,69,0
254.0,6,69,0
255.0,7,67,5
255.66666666666666,8,69,5
265.0,9,74,0
266.0,10,74,0
267.0,11,71,0
268.0,12,71,0
269.0,13,69,0
270.0,14,69,5
270.6666666666667,15,67,5
271.6666666666667,16,69,5
281.0,17,74,0
282.0,18,74,5
282.6666666666667,19,71,5
284.0,20,71,0
285.0,21,69,0
286.0,22,69,0
287.0,23,67,0
288.0,24,71,0
294.0,25,66,0
295.6666666666667,26,64,5
302.0,27,66,0
304.0,28,71,0
306.0,29,71,0
308.0,30,70,0
310.0,31,69,0
312.0,32,74,0
321.0,33,74,0
322.0,34,74,0
323.0,35,73,0
324.0,36,72,5
324.6666666666667,37,71,5
326.0,38,70,0
327.0,39,71,5
327.6666666666667,40,74,5
337.0,41,74,0
338.0,42,74,5
338.6666666666667,43,73,5
339.6666666666667,44,72,5
340.6666666666667,45,71,5
341.6666666666667,46,70,5
342.6666666666667,47,71,5
344.0,48,74,0
352.6666666666667,49,74,5
353.6666666666667,50,74,5
354.6666666666667,51,73,5
355.6666666666667,52,72,5
356.6666666666667,53,71,5
358.0,54,70,0
359.0,55,71,0
360.0,55,0,4
