On,Off,Pitch,Velocity
58775520.0,60480877.42708333,71,127
60980877.51041667,61076540.79166667,74,120
61229602.04166667,61362255.125,74,125
61480877.59375,61579091.89583333,71,127
61734704.16666667,61860979.69791667,71,127
61993632.78125,62103326.67708333,69,93
62248734.86458333,62371183.86458333,69,125
62470673.67708333,62575265.53125,67,122
62619908.39583333,64591847.5,69,127
64909449.59375,65010214.916666664,74,127
65146694.53125,65272970.0625,74,127
65395419.0625,65494908.875,71,126
65646694.614583336,65780623.208333336,71,127
65887766.083333336,66005113.041666664,69,120
66137766.125,66258939.614583336,69,126
66364806.979166664,66466847.8125,67,127
66524245.78125,68446439.97916666,69,127
68821440.04166666,68919654.34375,74,127
69061236.0,69187511.53125,74,127
69297205.42708334,69397970.75,71,127
69561236.08333334,69674756.51041666,71,127
69813787.14583334,69913276.95833334,69,104
70062511.67708334,70174756.59375,69,126
70293379.0625,70397970.91666666,67,125
70551032.16666666,71732154.8125,71,127
72015318.125,72313787.5625,66,127
72375012.0625,73864808.22916666,64,127
73977053.14583334,74285726.66666666,66,127
74469400.16666666,74739808.375,71,127
74983430.86458334,75290828.875,71,127
75460471.76041666,75760216.70833334,70,127
75928584.08333334,76235982.09375,69,127
76423482.125,78375013.0625,74,127
78619911.0625,78719400.875,74,127
78860982.53125,78979605.0,74,127
79105880.53125,79215574.42708334,73,127
79364809.14583334,79494911.20833334,72,127
79589298.97916666,79701543.89583334,71,122
79844401.0625,79984707.20833334,70,127
80089299.0625,80195166.42708334,71,110
80244911.33333334,82311238.20833334,74,127
82544656.61458334,82644146.42708334,74,127
82793381.14583334,82928585.25,74,121
82946442.39583334,83038279.14583334,73,126
83177309.78125,83276799.59375,72,127
83413279.20833334,83538279.22916666,71,115
83658177.20833334,83756391.51041666,70,127
83901799.69791666,84126289.53125,71,127
84252565.0625,86173483.75,74,127
86443891.95833334,86542106.26041666,74,127
86691340.97916666,86838024.67708334,74,127
86852055.29166666,86959198.16666666,73,116
87086749.20833334,87191341.0625,72,127
87334198.22916666,87576545.20833334,71,127
87711749.3125,87820167.69791666,70,127
87928586.08333334,88040831.0,71,127
