Beat,Position,Pitch,Type
0.0,0,0,1
0.6666666666666666,0,65,5
1.0,1,62,5
1.6666666666666665,2,63,5
2.0,3,66,5
2.6666666666666665,4,70,5
3.0,5,74,5
3.6666666666666665,6,77,5
8.0,7,0,1
9.0,7,75,5
9.666666666666666,8,73,5
10.0,9,75,5
10.666666666666666,10,78,5
11.0,11,75,5
11.666666666666666,12,73,5
12.0,13,70,5
12.666666666666666,14,66,5
13.0,15,67,5
13.666666666666666,16,68,5
16.0,17,0,1
17.0,17,70,5
17.666666666666668,18,68,5
18.0,19,70,5
18.666666666666668,20,68,5
19.0,21,66,5
19.666666666666668,22,63,5
24.0,23,0,1
24.666666666666668,23,66,5
25.0,24,63,5
25.666666666666668,25,61,5
26.666666666666668,26,58,5
27.0,27,61,5
27.666666666666668,28,62,5
32.0,29,0,1
32.666666666666664,29,65,5
33.0,30,62,5
33.666666666666664,31,63,5
34.0,32,66,5
34.666666666666664,33,70,5
35.0,34,74,5
35.666666666666664,35,77,5
40.0,36,0,1
41.0,36,75,5
41.666666666666664,37,73,5
42.0,38,75,5
42.666666666666664,39,78,5
43.0,40,75,5
43.666666666666664,41,73,5
44.0,42,70,5
44.666666666666664,43,66,5
45.0,44,67,5
45.666666666666664,45,68,5
48.0,46,0,1
49.0,46,70,5
49.666666666666664,47,68,5
50.0,48,70,5
50.666666666666664,49,68,5
51.0,50,66,5
51.666666666666664,51,63,5
56.0,52,0,1
56.666666666666664,52,66,5
57.0,53,63,5
57.666666666666664,54,61,5
58.666666666666664,55,58,5
59.0,56,61,5
59.666666666666664,57,62,5
64.0,58,0,1
66.66666666666667,58,62,5
67.0,59,63,5
67.66666666666667,60,75,5
70.66666666666667,61,75,5
71.0,62,75,5
71.66666666666667,63,75,5
72.0,64,0,1
73.66666666666667,64,78,5
74.66666666666667,65,75,5
75.66666666666667,66,73,5
76.0,67,75,0
79.0,68,70,5
79.66666666666667,69,68,5
80.0,70,0,1
82.66666666666667,70,60,5
83.0,71,61,5
83.66666666666667,72,73,5
86.66666666666667,73,73,5
87.0,74,73,5
87.66666666666667,75,73,5
88.0,76,0,1
89.66666666666667,76,76,5
90.66666666666667,77,73,5
91.66666666666667,78,71,5
92.0,79,73,0
94.0,80,70,5
94.66666666666667,81,68,5
95.0,82,66,5
95.66666666666667,83,70,5
96.0,84,0,1
96.66666666666667,84,65,5
97.0,85,62,5
97.66666666666667,86,63,5
98.0,87,66,5
98.66666666666667,88,70,5
99.0,89,74,5
99.66666666666667,90,77,5
104.0,91,0,1
105.0,91,75,5
105.66666666666667,92,73,5
106.0,93,75,5
106.66666666666667,94,78,5
107.0,95,75,5
107.66666666666667,96,73,5
108.0,97,70,5
108.66666666666667,98,66,5
109.0,99,67,5
109.66666666666667,100,68,5
112.0,101,0,1
113.0,101,70,5
113.66666666666667,102,68,5
114.0,103,70,5
114.66666666666667,104,68,5
115.0,105,66,5
115.66666666666667,106,63,5
120.66666666666667,107,66,5
121.0,108,63,5
121.66666666666667,109,61,5
122.66666666666667,110,58,5
123.0,111,61,5
123.66666666666667,112,62,5
124.0,113,0,1
129.0,113,70,5
129.66666666666666,114,68,5
130.0,115,0,1
130.66666666666666,115,73,5
131.0,116,71,5
131.66666666666666,117,70,5
133.66666666666666,117,70,5
134.0,118,0,1
134.66666666666666,119,68,5
135.0,120,66,5
135.66666666666666,121,65,5
137.66666666666666,122,65,5
138.0,123,0,1
138.66666666666666,123,63,5
139.0,124,61,5
139.66666666666666,125,60,5
140.66666666666666,126,66,5
141.0,127,65,5
141.66666666666666,128,68,5
142.0,129,66,5
142.66666666666666,130,65,5
143.0,131,63,5
143.66666666666666,132,62,5
144.0,132,0,1
148.0,132,0,4
