On,Off,Pitch,Velocity
3358066.475,3487098.808333333,65,78
3500002.0416666665,3683873.116666667,70,105
3741937.6666666665,3925808.741666667,74,76
3893550.658333333,4161292.75,72,87
4125808.8583333334,4287099.274999999,70,105
4280647.658333333,4541938.133333333,69,66
4522583.283333333,4625809.149999999,70,100
4670970.466666667,4883873.816666666,72,82
4909680.283333333,5032261.0,70,62
5054841.658333333,5325809.558333334,74,95
5322583.75,5490325.783333333,66,98
5709680.75,5970971.225000001,69,89
6093551.941666666,6193552.0,72,87
6235487.508333334,6458068.283333333,70,80
6477423.133333334,6590326.425,65,82
6867745.941666666,6967746.0,74,107
7003229.891666666,7183875.158333333,75,82
7235488.091666667,7387101.083333333,74,89
7364520.425,7467746.291666667,71,85
7606456.05,7716133.533333333,67,80
7767746.466666667,8064520.833333333,74,105
8403230.708333332,8522585.616666667,74,113
8554843.700000001,8774198.666666668,72,60
8800005.133333333,8887101.958333332,71,66
8925811.658333333,9100005.308333334,74,107
9183876.325000001,9448392.608333334,72,110
9974199.366666667,10216134.991666667,65,102
10345167.325000001,10570973.908333333,70,110
10725812.708333332,10848393.424999999,66,93
10861296.658333333,11087103.241666667,67,82
11106458.091666667,11229038.808333334,70,105
11251619.466666667,11448393.775,72,82
11496780.9,11587103.533333333,74,113
11625813.233333334,11716135.866666667,75,98
11767748.799999999,11900006.941666666,77,59
11880652.091666667,11980652.15,75,95
12016136.041666668,12209684.541666668,74,100
12267749.091666667,12532265.375,69,102
12541942.799999999,12612910.583333334,70,58
12645168.666666666,12780652.616666667,72,82
12777426.808333334,12938717.225,69,91
12912910.758333333,12993555.966666669,70,60
13035491.475,13135491.533333331,72,82
13174201.233333332,13664524.1,68,91
13812911.283333331,13925814.575000001,66,85
13951621.041666666,14190330.858333332,67,89
14222588.941666666,14348395.466666669,72,98
14364524.508333333,14574202.049999999,70,70
14587105.283333331,14700008.575000001,67,66
14738718.275,14903234.5,74,102
15000008.75,15132266.891666668,72,107
15767751.133333333,15874202.808333334,65,64
15887106.041666666,16045170.65,70,102
16135493.283333331,16280654.658333331,74,100
16283880.466666669,16503235.433333334,72,82
16525816.091666669,16606461.299999999,70,89
16648396.808333334,16883880.816666666,69,74
16912913.09166667,17012913.150000002,70,66
