Beat,Position,Pitch,Type
0.0,0,0,1
0.6666666666666666,0,76,5
1.6666666666666665,1,74,5
2.0,2,72,5
2.6666666666666665,3,67,5
3.0,4,65,5
3.6666666666666665,5,64,5
7.0,6,0,1
8.666666666666666,6,76,5
9.666666666666666,7,74,5
10.0,8,72,5
10.666666666666666,9,67,5
11.0,10,65,0
12.0,11,64,0
16.0,12,0,1
16.666666666666668,12,67,5
17.666666666666668,13,65,5
18.0,14,64,5
18.666666666666668,15,62,5
19.0,16,60,5
19.666666666666668,17,72,5
21.666666666666668,18,69,5
24.0,19,0,1
24.666666666666668,19,64,5
25.0,20,65,5
25.666666666666668,21,66,5
26.0,22,67,5
26.666666666666668,23,60,5
27.0,24,63,5
27.666666666666668,25,64,5
28.0,26,60,0
32.0,27,0,1
32.666666666666664,27,76,5
33.666666666666664,28,74,5
34.0,29,72,5
34.666666666666664,30,67,5
35.0,31,65,5
35.666666666666664,32,64,5
39.0,33,0,1
40.666666666666664,33,76,5
41.666666666666664,34,74,5
42.0,35,72,5
42.666666666666664,36,67,5
43.0,37,65,0
44.0,38,64,0
48.0,39,0,1
48.666666666666664,39,67,5
49.666666666666664,40,65,5
50.0,41,64,5
50.666666666666664,42,62,5
51.0,43,60,5
51.666666666666664,44,72,5
53.666666666666664,45,69,5
56.0,46,0,1
56.666666666666664,46,64,5
57.0,47,65,5
57.666666666666664,48,66,5
58.0,49,67,5
58.666666666666664,50,60,5
59.0,51,63,5
59.666666666666664,52,64,5
60.0,53,60,0
63.666666666666664,54,74,5
65.66666666666667,55,72,5
66.66666666666667,56,69,5
67.66666666666667,57,72,5
71.0,58,72,5
71.66666666666667,59,74,5
73.66666666666667,60,72,5
74.66666666666667,61,67,5
75.66666666666667,62,64,5
78.66666666666667,63,72,5
80.0,64,74,0
82.0,65,72,5
82.66666666666667,66,69,5
83.66666666666667,67,72,5
88.0,68,0,1
88.5,68,71,2
88.66666666666667,69,71,5
89.66666666666667,70,71,5
90.0,71,71,5
90.66666666666667,72,69,5
91.66666666666667,73,67,5
92.66666666666667,74,76,5
93.66666666666667,75,74,5
94.0,76,72,5
94.66666666666667,77,67,5
95.0,78,65,0
96.0,79,64,0
100.0,80,0,1
100.66666666666667,80,76,5
101.66666666666667,81,74,5
102.0,82,72,5
102.66666666666667,83,67,5
103.0,84,65,0
104.0,85,64,0
108.0,86,0,1
108.66666666666667,86,67,5
109.66666666666667,87,65,5
110.0,88,64,5
110.66666666666667,89,62,5
111.0,90,60,5
111.66666666666667,91,72,5
113.66666666666667,92,69,5
116.0,93,0,1
116.66666666666667,93,64,5
117.0,94,65,5
117.66666666666667,95,66,5
118.0,96,67,5
118.66666666666667,97,60,5
119.0,98,63,5
119.66666666666667,99,64,5
120.0,100,60,0
124.0,101,0,1
124.66666666666667,101,76,5
125.66666666666667,102,74,5
126.0,103,72,5
126.66666666666667,104,67,5
127.0,105,65,0
128.0,105,0,4
