Beat,Position,Pitch,Type
0.25,0,0,1
3.5,0,69,0
4.0,1,76,0
4.5,2,76,0
5.0,3,76,0
5.5,4,77,0
6.0,5,74,0
6.5,6,74,0
7.0,7,72,0
7.5,8,71,0
8.0,9,74,0
8.5,10,74,0
9.0,11,74,0
9.5,12,76,0
10.0,13,72,0
11.0,14,0,1
11.5,14,69,0
12.0,15,72,0
12.5,16,72,0
13.0,17,72,0
13.5,18,74,0
14.0,19,71,0
14.5,20,71,0
15.0,21,69,0
15.5,22,67,0
16.0,23,70,0
16.5,24,70,0
17.0,25,70,0
17.5,26,72,0
18.0,27,69,0
19.0,28,0,1
19.5,28,64,0
20.0,29,67,0
20.5,30,67,0
21.0,31,67,0
21.5,32,69,0
22.0,33,65,0
22.5,34,68,0
23.0,35,71,0
23.5,36,72,0
24.0,37,74,0
24.5,38,74,0
25.0,39,74,0
25.333333333333332,40,74,0
25.666666666666668,41,71,0
28.0,42,69,0
28.5,43,69,0
29.0,44,69,0
29.5,45,71,0
30.5,46,71,0
31.0,47,71,0
31.5,48,67,0
35.0,49,0,1
35.5,49,69,0
36.0,50,76,0
36.5,51,76,0
37.0,52,76,0
37.5,53,77,0
38.0,54,74,0
38.5,55,74,0
39.0,56,72,0
39.5,57,71,0
40.0,58,74,0
40.5,59,74,0
41.0,60,74,0
41.5,61,76,0
42.0,62,72,0
43.0,63,0,1
43.5,63,69,0
44.0,64,72,0
44.5,65,72,0
45.0,66,72,0
45.5,67,74,0
46.0,68,71,0
46.5,69,71,0
47.0,70,69,0
47.5,71,67,0
48.0,72,70,0
48.5,73,70,0
49.0,74,70,0
49.5,75,72,0
50.0,76,69,0
51.0,77,0,1
51.5,77,64,0
52.0,78,67,0
52.5,79,67,0
53.0,80,67,0
53.5,81,69,0
54.0,82,65,0
54.5,83,68,0
55.0,84,71,0
55.5,85,72,0
56.0,86,74,0
56.5,87,74,0
57.0,88,74,0
57.333333333333336,89,74,0
57.666666666666664,90,71,0
60.0,91,69,0
60.5,92,69,0
61.0,93,69,0
61.5,94,71,0
62.5,95,71,0
63.0,96,71,0
63.5,97,72,0
67.0,98,0,1
67.5,98,72,0
68.0,99,72,0
68.5,100,72,0
69.0,101,72,0
69.5,102,72,0
70.0,103,75,0
70.5,104,75,0
71.0,105,73,0
71.5,106,75,0
72.0,107,72,0
72.5,108,72,0
73.0,109,72,0
75.0,110,0,1
75.5,110,72,0
76.0,111,72,0
76.5,112,72,0
77.0,113,72,0
77.5,114,72,0
78.0,115,73,0
78.5,116,68,0
79.0,117,67,0
79.5,118,65,0
80.0,119,72,0
83.0,120,0,1
83.5,120,72,0
84.0,121,71,0
84.5,122,71,0
85.0,123,71,0
85.5,124,71,0
86.0,125,74,0
86.5,126,74,0
87.0,127,72,0
87.5,128,74,0
88.0,129,71,0
88.5,130,71,0
89.0,131,71,0
91.0,132,0,1
91.5,132,71,0
92.0,133,72,0
92.5,134,72,0
93.0,135,72,0
93.5,136,72,0
94.0,137,72,0
94.5,138,72,0
95.0,139,71,0
95.5,140,72,0
96.0,141,74,0
99.0,142,0,1
99.5,142,69,0
100.0,143,76,0
100.5,144,76,0
101.0,145,76,0
101.5,146,77,0
102.0,147,74,0
102.5,148,74,0
103.0,149,72,0
103.5,150,71,0
104.0,151,74,0
104.5,152,74,0
105.0,153,74,0
105.5,154,76,0
106.0,155,72,0
107.0,156,0,1
107.5,156,69,0
108.0,157,72,0
108.5,158,72,0
109.0,159,72,0
109.5,160,74,0
110.0,161,71,0
110.5,162,71,0
111.0,163,69,0
111.5,164,67,0
112.0,165,70,0
112.5,166,70,0
113.0,167,70,0
113.5,168,72,0
114.0,169,69,0
115.0,170,0,1
115.5,170,64,0
116.0,171,67,0
116.5,172,67,0
117.0,173,67,0
117.5,174,69,0
118.0,175,65,0
118.5,176,68,0
119.0,177,71,0
119.5,178,72,0
120.0,179,74,0
120.5,180,74,0
121.0,181,74,0
121.33333333333333,182,74,0
121.66666666666667,183,71,0
124.0,184,69,0
124.5,185,69,0
125.0,186,69,0
125.5,187,76,0
126.5,188,76,0
127.0,189,76,0
127.5,190,72,0
131.0,190,0,1
132.0,190,0,4
